Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs,distance between ports
726,04299322822552629,,3922,2911,3995,4217,3995,3591,3215,sea,8192,2911,2386,789,,,,,,
727,04436897756416358,,2363,4399,4399,4318,4753,3839,4482,sea,2363,8669,1260,1448,,,,,,
728,04817637673983653,,76,869,3179,4191,4725,3644,3742,sea,76,869,3078,3492,,,,,,
729,04923895796176967,,2363,755,3692,4822,3878,3952,4932,sea,2363,755,1685,1487,,,,,,
730,04217127928328538,,1752,287,4328,4908,4798,4962,3349,sea,1752,287,4264,3574,,,,,,
731,04722652531861518,,3521,1132,4415,4665,4131,3091,3078,sea,7791,1132,14,716,,,,,,
732,04851827558678888,,4536,2448,4601,3955,3054,4455,3349,sea,8806,2448,3177,3921,,,,,,
733,04356999887647528,,731,65,3002,4028,4835,3111,3773,sea,731,65,3049,1949,,,,,,
734,04327869144134291,,1283,1913,3796,3796,4424,4962,3856,sea,1283,1913,3124,3767,,,,,,
735,04834851863783299,,2363,726,4068,4016,3562,3999,4056,sea,2363,726,2736,1497,,,,,,
736,04684797239279539,,976,4417,3726,3669,3054,3742,3437,sea,976,8687,796,3627,,,,,,
737,04714863663573670,,4304,3326,4748,4639,4202,3993,3886,sea,8574,7596,2552,211,,,,,,
738,04733326149399829,,3828,2656,4958,3895,3759,4832,4821,sea,8098,2656,2368,4036,,,,,,
739,04949449756966167,,1189,1811,4009,3945,3349,4580,3054,sea,1189,1811,2623,3786,,,,,,
740,04616572585945289,,2648,106,3457,4899,3317,4888,4966,sea,2648,106,2747,3814,,,,,,
741,04456157595225455,,616,2223,3817,3883,3180,3133,3773,sea,616,2223,3204,1933,,,,,,
742,04874615232622927,,4797,2303,4214,4757,4695,3509,4746,sea,9067,2303,542,237,,,,,,
743,04115365451421729,,1138,2448,3104,3955,3245,3575,3886,sea,1138,2448,3148,222,,,,,,
744,04267614514564654,,2363,280,3745,4318,4066,3041,4970,sea,2363,280,1284,1475,,,,,,
745,04354717281431466,,3847,355,3075,3075,3075,4348,4746,sea,8117,355,2800,205,,,,,,
746,04356548169269424,,2417,539,3995,4580,3781,3091,3686,sea,2417,539,2386,765,,,,,,
747,04359441976716464,,4803,1979,3027,3872,4292,3472,3178,sea,9073,1979,809,639,,,,,,
748,04136861535335584,,2425,1761,3187,4016,4431,3807,3316,sea,2425,1761,2744,721,,,,,,
749,04277546859879735,,908,4126,4126,4208,4634,4229,4535,sea,908,8396,2222,2013,,,,,,
750,04495458548858843,,1957,1132,3526,4225,4503,4857,4799,sea,1957,1132,18,645,,,,,,
751,04593283981751731,,2500,872,3318,3318,3748,4424,3054,sea,2500,872,4270,3768,,,,,,
752,04493457394244758,,4580,2074,3345,3345,4776,4580,3349,sea,8850,2074,3277,3769,,,,,,
753,04352916631121350,,3674,3248,3858,3452,3375,4581,3419,sea,7944,7518,796,2218,,,,,,
754,04273487722272830,,4580,126,3802,4521,4056,3437,3349,sea,8850,126,46,3973,,,,,,
755,04423614978688723,,739,948,3918,4969,4774,4176,3071,sea,739,948,1693,781,,,,,,
756,04139112758888669,,2300,4532,3072,4056,3971,3111,3111,sea,2300,8802,58,1917,,,,,,
757,04713423451921635,,2363,3519,3519,3519,3552,3342,3202,sea,2363,7789,2910,1451,,,,,,
758,04556583637467979,,1209,1886,4221,4917,4917,3644,3437,sea,1209,1886,2042,3812,,,,,,
759,04815812782832463,,2363,1652,3694,4767,3563,4959,4087,sea,2363,1652,2494,1445,,,,,,
760,04775195547517472,,2426,3035,3212,3667,3054,3742,4287,sea,2426,7305,3060,3696,,,,,,
761,04921425346126795,,2363,766,4553,4616,4443,4541,3836,sea,2363,766,2843,1477,,,,,,
762,04194322788178242,,2363,2494,4685,4423,4660,3760,3505,sea,2363,2494,2676,1479,,,,,,
763,04285362886356952,,2363,2911,3995,4883,3995,3112,3520,sea,2363,2911,2387,1461,,,,,,
764,04547484867197235,,1146,3729,3729,4986,3729,4308,3349,sea,1146,7999,1018,3482,,,,,,
765,04195888979789370,,2278,2448,4391,3955,4679,4702,4829,sea,2278,2448,3135,1987,,,,,,
766,04986617777817657,,666,2448,4813,3955,3693,4962,4536,sea,666,2448,3159,3946,,,,,,
767,04187479799749562,,2426,2414,3243,3182,4776,4287,4580,sea,2426,2414,2044,3894,,,,,,
768,04639284965925897,,1146,2795,4397,3715,3715,4717,4776,sea,1146,2795,2841,3712,,,,,,
769,04292748618268272,,2855,265,4955,4469,3147,4635,3437,sea,2855,265,2070,4047,,,,,,
770,04916819383623238,,423,1926,4773,4469,4031,3199,3601,sea,423,1926,2550,730,,,,,,
771,04126689856586668,,3020,2888,3318,3318,3169,4587,4923,sea,7290,2888,4270,256,,,,,,
772,04544572841631844,,4797,2362,4878,4576,3676,3501,4033,sea,9067,2362,2570,221,,,,,,
773,04891641685875358,,1349,1995,3936,3122,3412,4702,3773,sea,1349,1995,75,1885,,,,,,
774,04536254397877914,,508,781,3866,4103,4913,3682,4500,sea,508,781,2234,768,,,,,,
775,04889125217367498,,2956,320,4915,4216,3165,4666,4535,sea,2956,320,2863,2010,,,,,,
776,04988599849889459,,4202,637,4170,3242,4975,4587,4153,sea,8472,637,3443,228,,,,,,
777,04367484981911140,,3742,1948,4640,3247,4705,4455,4966,sea,8012,1948,2634,3766,,,,,,
778,04652263812252547,,2363,3912,4348,4960,3912,3103,4053,sea,2363,8182,32,1481,,,,,,
779,04836394161241217,,1283,4913,3866,3866,4913,4424,4580,sea,1283,9183,2243,3788,,,,,,
780,04488487685225287,,4634,4927,4022,4183,3723,4538,4535,sea,8904,9197,4251,1868,,,,,,
781,04436389182952550,,2363,4590,3753,3430,3532,3973,4664,sea,2363,8860,377,1452,,,,,,
782,04723891348788291,,3477,2446,4840,4840,4840,4813,4008,sea,7747,2446,892,597,,,,,,
783,04882458185165924,,2363,2514,4260,4023,3413,3298,4683,sea,2363,2514,2762,1502,,,,,,
784,04666783226176893,,1837,1441,3053,3195,3053,4890,3773,sea,1837,1441,1104,1966,,,,,,
785,04226533965635955,,2740,1671,4329,4329,4584,3869,4674,sea,2740,1671,2281,686,,,,,,
786,04797516883683485,,3828,4004,3423,4004,3317,3446,4580,sea,8098,8274,3070,3766,,,,,,
787,04733161851731143,,4726,452,3745,4318,3204,3517,3943,sea,8996,452,1231,719,,,,,,
788,04827219427817383,,3856,3724,3395,3649,4694,3418,4821,sea,8126,7994,1158,3944,,,,,,
789,04545362486376656,,1291,4329,4329,3731,4424,4962,3446,sea,1291,8599,2277,3720,,,,,,
790,04744542525515515,,1128,1490,4064,4443,3014,4975,4090,sea,1128,1490,2841,257,,,,,,
791,04889465792232256,,307,692,4384,4384,4384,3509,4143,sea,307,692,2249,220,,,,,,
792,04133961216126357,,2641,2804,3132,4003,3618,4919,3408,sea,2641,2804,1567,2187,,,,,,
793,04929138642172732,,3777,1950,3513,3712,4835,3111,3111,sea,8047,1950,2140,1937,,,,,,
794,04573837392882698,,3020,1132,3372,4728,3809,4587,4902,sea,7290,1132,8,244,,,,,,
795,04182578657287378,,3566,2448,4998,3955,4367,3091,4448,sea,7836,2448,3174,697,,,,,,
796,04842759464524275,,3723,2122,4399,4318,4565,4702,4535,sea,7993,2122,1253,2014,,,,,,
797,04395394337617714,,4082,1010,3775,3485,3566,3424,3709,sea,8352,1010,1542,666,,,,,,
798,04199746462342562,,2363,161,3165,4216,3165,4389,3247,sea,2363,161,2851,1517,,,,,,
799,04164986423963113,,2363,1755,4970,3459,4950,4295,4589,sea,2363,1755,2749,1497,,,,,,
800,04329767361851442,,1539,49,4675,4789,3443,4458,4620,sea,1539,49,4228,635,,,,,,
801,04312629319759135,,2344,4991,3597,3175,4888,4426,3297,sea,2344,9261,1629,4036,,,,,,
802,04528229944184488,,541,4649,4517,3246,3380,3741,4704,sea,541,8919,1041,698,,,,,,
803,04233754949169963,,2640,1454,4429,3837,4587,3998,3996,sea,2640,1454,203,219,,,,,,
804,04925729775275588,,2648,4290,3942,3442,3573,4308,3437,sea,2648,8560,459,3660,,,,,,
805,04616932878628112,,4714,2807,3917,3442,3711,3137,3766,sea,8984,2807,476,760,,,,,,
806,04963163362832691,,533,534,3089,4986,3503,3428,4455,sea,533,534,1021,3858,,,,,,
807,04539441235355773,,2957,629,3244,4027,3375,4480,4708,sea,2957,629,3196,2217,,,,,,
808,04433767337277810,,2429,2082,4639,4546,4109,4735,3957,sea,2429,2082,2550,761,,,,,,
809,04367727549729116,,4202,657,3441,4142,4975,4797,4281,sea,8472,657,182,216,,,,,,
810,04361732151631463,,2285,2542,4399,4318,4086,3998,3886,sea,2285,2542,1239,223,,,,,,
811,04875824716566445,,2879,1429,4767,3322,4818,3321,4050,sea,2879,1429,190,710,,,,,,
812,04496245875125385,,4097,2759,3918,3728,3737,4635,3742,sea,8367,2759,2771,3638,,,,,,
813,04859678633683646,,2574,261,3849,3231,4212,3744,4125,sea,2574,261,1620,788,,,,,,
814,04359947633283749,,2764,1972,4675,4789,3490,3601,4621,sea,2764,1972,4197,564,,,,,,
815,04697436414254766,,4597,1679,4137,3088,4774,3823,3323,sea,8867,1679,1174,668,,,,,,
816,04349492368588889,,3767,3241,3444,4491,3261,3723,4232,sea,8037,7511,871,1889,,,,,,
817,04336348532242827,,4536,2095,3858,3204,4888,4580,4776,sea,8806,2095,803,3872,,,,,,
818,04623214647547283,,2426,1401,3839,3839,3021,3437,4580,sea,2426,1401,2487,4115,,,,,,
819,04545357548138648,,2285,2798,3526,3242,3526,3211,3636,sea,2285,2798,3320,206,,,,,,
820,04554274318378654,,2363,1132,3870,4197,3424,4392,4035,sea,2363,1132,14,1486,,,,,,
821,04424825757477615,,1817,534,4233,4583,3503,4480,3375,sea,1817,534,1015,2206,,,,,,
822,04621983341331833,,976,948,3294,3846,4578,3437,3295,sea,976,948,1693,4033,,,,,,
823,04655266614164299,,2483,539,3995,3709,3169,4304,4090,sea,2483,539,2384,224,,,,,,
824,04663495498968979,,1046,1159,3802,4042,3412,4971,3636,sea,1046,1159,45,223,,,,,,
825,04972781285225246,,45,54,4089,4300,4835,4666,4316,sea,45,54,1549,1991,,,,,,
826,04131281998278818,,2363,265,3812,4942,4123,3519,3759,sea,2363,265,2075,1481,,,,,,
827,04873332981991111,,2870,2408,3921,4822,3347,4279,4691,sea,2870,2408,1683,709,,,,,,
828,04865848187727436,,1209,1935,4529,4630,4888,4536,4424,sea,1209,1935,816,3887,,,,,,
829,04853466716256131,,2905,875,3457,4946,3170,3846,4648,sea,2905,875,2744,714,,,,,,
830,04619792528458769,,2688,1755,3608,3776,4803,3052,4766,sea,2688,1755,2723,730,,,,,,
831,04749177939979377,,2363,1,3870,4788,4369,3181,4321,sea,2363,1,2345,1443,,,,,,
832,04479532576786421,,2363,601,3488,3274,3895,3528,3472,sea,2363,601,2366,1452,,,,,,
833,04278112398978544,,4388,3342,3143,4067,4376,3970,4232,sea,8658,7612,2495,2023,,,,,,
834,04612286572112649,,4153,2812,3519,4436,4865,4332,4281,sea,8423,2812,2886,241,,,,,,
835,04281552775965776,,2467,2330,4644,4644,4276,4311,3246,sea,2467,2330,3184,238,,,,,,
836,04759146913913727,,2363,2595,4978,3918,4477,4030,4766,sea,2363,2595,2749,1452,,,,,,
837,04848419464764289,,2363,1992,3798,4899,3496,4350,4797,sea,2363,1992,2742,1493,,,,,,
838,04842763671661326,,1720,1335,3908,4443,3998,4006,4766,sea,1720,1335,1406,548,,,,,,
839,04243916548578578,,4159,1481,3526,4170,3526,4287,3418,sea,8429,1481,3368,3749,,,,,,
840,04721538313783715,,851,2452,4915,4113,3461,4847,3920,sea,851,2452,2851,696,,,,,,
841,04785765152712325,,533,3764,4599,3033,3573,4424,4776,sea,533,8034,2769,3599,,,,,,
842,04258614479759234,,4301,111,3391,4757,4112,3482,4175,sea,8571,111,543,613,,,,,,
843,04397453329549988,,2363,2630,3624,3550,4427,4125,4720,sea,2363,2630,883,1451,,,,,,
844,04434274395365551,,3601,1683,3857,4521,4223,4279,3823,sea,7871,1683,69,701,,,,,,
845,04878274874644672,,533,1575,3992,4851,4097,4159,4962,sea,533,1575,2841,4070,,,,,,
846,04186214195655267,,2363,1071,3126,3397,4957,4659,3534,sea,2363,1071,1747,1514,,,,,,
847,04646821513743284,,4536,3932,4030,4334,4818,4159,4287,sea,8806,8202,2593,4049,,,,,,
848,04647554178148321,,2957,117,3126,3397,4919,4919,3408,sea,2957,117,1785,2203,,,,,,
849,04312846251981350,,1597,4907,4840,4840,3509,4061,3092,sea,1597,9177,891,235,,,,,,
850,04265838731871681,,2433,2882,3914,4804,3882,4760,4691,sea,2433,2882,1646,788,,,,,,
851,04349612461861225,,2363,948,4190,4788,3956,4546,3543,sea,2363,948,1691,1465,,,,,,
852,04434617742642934,,4281,4733,3586,3643,3561,4695,3886,sea,8551,9003,4262,231,,,,,,
853,04684917922642970,,2852,381,3143,4645,3359,4287,4424,sea,2852,381,2496,4128,,,,,,
854,04528462463983655,,2363,2134,3163,4922,4409,4517,3340,sea,2363,2134,2663,1461,,,,,,
855,04614754595565233,,930,2244,3342,4633,4099,3381,3497,sea,930,2244,2492,650,,,,,,
856,04589633891361631,,1283,3104,4228,4375,3679,3418,4821,sea,1283,7374,4240,3765,,,,,,
857,04721881535465243,,2336,1883,4399,4318,4426,4832,3054,sea,2336,1883,1285,3702,,,,,,
858,04839742179389662,,3957,2087,3939,4576,4818,4458,4425,sea,8227,2087,2598,619,,,,,,
859,04776171945125135,,2426,3942,3942,3183,4854,4308,4580,sea,2426,8212,452,3563,,,,,,
860,04422614476886196,,2027,3345,3345,4062,4388,4702,3667,sea,2027,7615,3332,1889,,,,,,
861,04588364755745779,,1907,3369,4946,4156,4795,4261,4250,sea,1907,7639,2728,620,,,,,,
862,04149593518458167,,427,4789,4675,4789,3443,3483,3606,sea,427,9059,4196,774,,,,,,
863,04436179593973929,,1963,22,3272,3274,4304,4309,3014,sea,1963,22,2370,250,,,,,,
864,04688489427727163,,4994,1808,3488,4037,3137,4828,4688,sea,9264,1808,2374,667,,,,,,
865,04198392795435528,,675,1851,3726,4463,4202,4332,4090,sea,675,1851,800,245,,,,,,
866,04372478423833147,,2402,2494,4990,3824,4996,4919,3419,sea,2402,2494,2679,2181,,,,,,
867,04311734777437318,,233,355,3075,3075,4708,4480,3227,sea,233,355,2795,2181,,,,,,
868,04332292971391919,,3559,1087,4773,4772,4711,4294,4799,sea,7829,1087,2566,720,,,,,,
869,04337127947967537,,1291,2377,4046,3107,4422,3001,4966,sea,1291,2377,2736,3712,,,,,,
870,04441143243663845,,3777,4788,3870,4788,4072,4835,3667,sea,8047,9058,2346,1887,,,,,,
871,04231979541121115,,599,1943,4773,3455,4803,4261,4500,sea,599,1943,2565,592,,,,,,
872,04666486186466799,,2336,3035,3475,4772,3297,3644,4536,sea,2336,7305,3060,3718,,,,,,
873,04885296219919528,,2027,1361,3126,3126,4712,4890,4634,sea,2027,1361,1749,2008,,,,,,
874,04414621159759884,,2363,1324,4675,3443,3443,4669,4519,sea,2363,1324,4195,1492,,,,,,
875,04372152546466849,,3217,120,3616,3584,4603,4095,3152,sea,7487,120,1661,655,,,,,,
876,04559338315675491,,4304,2122,3745,4318,3496,4309,4969,sea,8574,2122,1293,255,,,,,,
877,04948982678498459,,4810,3870,3870,4788,3029,4997,4301,sea,9080,8140,2341,678,,,,,,
878,04479716123283773,,666,867,3796,4127,3295,4455,4580,sea,666,867,3121,3496,,,,,,
879,04419963964774474,,3507,2984,4906,3406,4689,3869,4740,sea,7777,2984,1522,784,,,,,,
880,04239981269479548,,2344,1602,4246,4822,3573,4635,4966,sea,2344,1602,1687,4100,,,,,,
881,04417663566326874,,1144,824,4196,4856,4388,4666,3111,sea,1144,824,2728,1980,,,,,,
882,04655447653193345,,1298,1324,3329,3443,3295,4580,3297,sea,1298,1324,4204,3760,,,,,,
883,04631337395635695,,4536,3263,3263,3263,3327,4424,4424,sea,8806,7533,2816,3782,,,,,,
884,04249787247537753,,4424,104,3745,4318,4776,3644,3054,sea,8694,104,1231,3752,,,,,,
885,04227648382762760,,4232,1805,4031,3871,3197,4229,3667,sea,8502,1805,2554,1897,,,,,,
886,04749957871951491,,4965,637,4170,4170,3425,4075,3589,sea,9235,637,3246,652,,,,,,
887,04472832328138636,,2363,1066,3407,4028,3002,4699,3298,sea,2363,1066,3049,1446,,,,,,
888,04471857973133134,,3644,2975,3514,3463,3346,3001,4424,sea,7914,2975,999,3553,,,,,,
889,04881355391431281,,2261,2444,3936,3072,3651,4538,4829,sea,2261,2444,64,1987,,,,,,
890,04942948346656268,,4632,1433,4840,4907,4840,4355,3561,sea,8902,1433,891,252,,,,,,
891,04625632783483810,,4193,2668,3680,4460,3301,3644,4455,sea,8463,2668,1521,3770,,,,,,
892,04944534417847956,,4853,4789,3329,3443,4223,3411,4207,sea,9123,9059,4207,591,,,,,,
893,04566963685495945,,820,4947,4094,3465,4676,3846,3846,sea,820,9217,2410,768,,,,,,
894,04973963594774946,,4229,2448,3653,3955,3723,3133,4535,sea,8499,2448,3182,2027,,,,,,
895,04863254983673785,,1832,2448,4043,3955,4416,3483,3906,sea,1832,2448,3148,553,,,,,,
896,04358316121861393,,1298,265,3673,4188,4888,3437,3828,sea,1298,265,2072,3480,,,,,,
897,04426872572552964,,4726,2707,3990,4128,3254,4799,3323,sea,8996,2707,1742,576,,,,,,
898,04142865682662693,,976,2821,3672,4692,4561,4962,4287,sea,976,2821,1558,3955,,,,,,
899,04132155994514562,,3986,1193,4436,4436,4436,4695,3561,sea,8256,1193,2883,256,,,,,,
900,04572583964274767,,2363,2025,3126,3397,4436,4502,4476,sea,2363,2025,1780,1485,,,,,,
901,04569797355345912,,3847,3272,4241,3272,3895,3677,4632,sea,8117,7542,2367,213,,,,,,
902,04792794226576587,,1709,2218,3838,3686,4020,4455,3751,sea,1709,2218,1413,4022,,,,,,
903,04817523231611659,,4902,1972,4370,4789,3464,4090,3449,sea,9172,1972,4230,231,,,,,,
904,04775864673963360,,2363,4246,3983,3692,4369,4389,4659,sea,2363,8516,1679,1495,,,,,,
905,04479751856416517,,349,2947,4983,4907,4417,3611,4011,sea,349,2947,2804,556,,,,,,
906,04934894759149457,,2402,996,3989,3615,4293,4314,4480,sea,2402,996,2750,2217,,,,,,
907,04751914999259699,,4193,4767,3814,4645,3054,3001,4776,sea,8463,9037,2491,3615,,,,,,
908,04842119853583137,,4902,2401,3992,3992,4202,4355,4231,sea,9172,2401,2841,212,,,,,,
909,04528498832622535,,2363,239,3143,3386,4426,4328,3591,sea,2363,239,2492,1506,,,,,,
910,04254147132622551,,1462,2542,4399,4318,4941,4969,3994,sea,1462,2542,1277,246,,,,,,
911,04797777774934936,,4097,2265,3675,3463,3038,3418,3751,sea,8367,2265,150,3647,,,,,,
912,04951213314984888,,1371,2223,3760,3817,4145,4832,4776,sea,1371,2223,3204,3984,,,,,,
913,04412667752552653,,1283,4907,4305,4907,3742,4308,3437,sea,1283,9177,891,3885,,,,,,
914,04388147352922116,,671,2448,3144,3955,3215,4601,4963,sea,671,2448,3167,552,,,,,,
915,04281358946116578,,2363,303,3011,4456,4871,3500,4708,sea,2363,303,186,1473,,,,,,
916,04176472543733712,,1371,2346,3506,4998,3742,4287,4287,sea,1371,2346,1124,3907,,,,,,
917,04469284877857357,,3521,1883,3745,4318,3015,3137,4440,sea,7791,1883,1286,618,,,,,,
918,04484174891521497,,3934,534,4986,4986,3503,3351,4746,sea,8204,534,1021,227,,,,,,
919,04578885257277467,,2648,2448,4168,3955,3742,4635,3856,sea,2648,2448,3141,3585,,,,,,
920,04536446662292915,,4097,2218,4877,3110,4287,4580,3446,sea,8367,2218,1413,3909,,,,,,
921,04411725546416930,,386,1543,4553,3992,3054,4426,3349,sea,386,1543,2839,3753,,,,,,
922,04538268744684320,,3771,2244,3342,4067,4376,3808,3595,sea,8041,2244,2496,668,,,,,,
923,04174376253213828,,884,948,4704,4552,4434,4969,3449,sea,884,948,1692,217,,,,,,
924,04518169365425261,,4981,1193,3519,4436,4293,4314,3923,sea,9251,1193,2892,2190,,,,,,
925,04356293345445238,,4580,1447,3112,3297,4437,4717,3349,sea,8850,1447,2094,3833,,,,,,
926,04168864845255763,,2299,1753,3572,4626,3772,3869,4500,sea,2299,1753,2642,563,,,,,,
927,04487763259519695,,2363,1195,4514,4114,3458,3541,4571,sea,2363,1195,1165,1518,,,,,,
928,04526444399389949,,2363,281,4141,4773,4044,3115,3778,sea,2363,281,2546,1507,,,,,,
929,04134998583313577,,1693,4085,3788,4751,3170,4250,3298,sea,1693,8355,2745,783,,,,,,
930,04955234459339551,,2363,3089,3503,4986,3729,4074,3126,sea,2363,7359,1009,1454,,,,,,
931,04853877677477860,,3850,4524,3284,3226,4876,4984,3920,sea,8120,8794,2948,712,,,,,,
932,04442472676676757,,1291,2244,4645,4633,4376,4962,3418,sea,1291,2244,2491,4169,,,,,,
933,04281137366236598,,2363,2488,4384,4384,4384,4137,3216,sea,2363,2488,2245,1466,,,,,,
934,04173869373993592,,1032,2638,3181,3229,4708,4919,4155,sea,1032,2638,2637,2183,,,,,,
935,04196665186346645,,2116,2125,4216,4216,4113,3381,3696,sea,2116,2125,2856,774,,,,,,
936,04279956376186472,,3091,1408,3345,3242,3327,3521,3559,sea,7361,1408,3283,729,,,,,,
937,04789133753933641,,2344,3293,3156,4004,3297,4635,3297,sea,2344,7563,3063,3914,,,,,,
938,04221552651271616,,3825,4764,4970,4150,4742,3579,3631,sea,8095,9034,2767,2189,,,,,,
939,04169335734354595,,4530,4960,4489,4960,3537,4100,4678,sea,8800,9230,42,622,,,,,,
940,04775747563773877,,2277,3289,3486,3824,4743,4424,4424,sea,2277,7559,2663,3948,,,,,,
941,04591393461561285,,3052,2537,3513,4836,4079,3922,3045,sea,7322,2537,2134,669,,,,,,
942,04557259272352251,,2363,3840,4529,3491,3578,4024,4074,sea,2363,8110,820,1472,,,,,,
943,04583812821691666,,2855,4551,4861,4950,4970,3446,3742,sea,2855,8821,2730,4090,,,,,,
944,04256316914724761,,2559,2054,3075,3075,3075,4997,3316,sea,2559,2054,2796,737,,,,,,
945,04585833932992921,,2852,1508,4866,3781,4866,3437,4580,sea,2852,1508,280,4051,,,,,,
946,04619777631121571,,616,2812,4436,3519,3414,4538,4232,sea,616,2812,2934,1864,,,,,,
947,04847551531511219,,2363,204,4517,3519,4865,4428,4176,sea,2363,204,2904,1507,,,,,,
948,04695488888678649,,1982,3345,4170,3345,4587,4541,4969,sea,1982,7615,3270,232,,,,,,
949,04654797979359293,,3141,922,3973,3608,3667,4835,4829,sea,7411,922,2737,1884,,,,,,
950,04198982632432492,,3825,1352,4015,4336,3383,3579,3375,sea,8095,1352,3196,2192,,,,,,
951,04225182112582362,,681,3374,4394,4329,3055,4740,3090,sea,681,7644,2272,683,,,,,,
952,04961155716916395,,2363,3717,4372,4420,3095,4325,4372,sea,2363,7987,2653,1510,,,,,,
953,04168768721581826,,2500,1408,4170,3242,3428,3428,3856,sea,2500,1408,3362,4131,,,,,,
954,04534285241771760,,4293,265,3521,4187,4492,3579,3227,sea,8563,265,2071,2188,,,,,,
955,04312725965845519,,3848,1451,4218,3379,3228,3625,4500,sea,8118,1451,2256,773,,,,,,
956,04742385533483856,,1249,1132,3293,4936,4676,4963,3696,sea,1249,1132,21,708,,,,,,
957,04133631631731527,,632,320,4216,4216,4941,4061,3060,sea,632,320,2870,225,,,,,,
958,04752495595275485,,1673,1338,3802,4521,4272,4332,4086,sea,1673,1338,62,216,,,,,,
959,04471157947397648,,2753,2555,4639,3455,4990,4425,4813,sea,2753,2555,2552,622,,,,,,
960,04652911795685332,,3141,452,4399,4318,4884,4702,3773,sea,7411,452,1266,1936,,,,,,
961,04941747579389353,,3336,1468,3118,4654,4458,3721,3548,sea,7606,1468,76,627,,,,,,
962,04795353862642598,,2363,3503,4233,4986,4774,4374,3209,sea,2363,7773,1014,1505,,,,,,
963,04953718722692649,,1752,2265,4611,4708,4055,4159,3418,sea,1752,2265,85,3536,,,,,,
964,04848274486366985,,4536,4549,3760,4027,4776,3428,4424,sea,8806,8819,3191,3868,,,,,,
965,04483318658878184,,2363,2980,3326,4773,4031,3765,4059,sea,2363,2980,2544,1507,,,,,,
966,04848727232522741,,2219,2899,4643,3895,3272,4090,4143,sea,2219,2899,2361,214,,,,,,
967,04943548825575418,,2363,2025,3126,3004,4712,4888,3469,sea,2363,2025,1792,1473,,,,,,
968,04261837996266991,,2918,3107,3459,4116,4975,4181,4281,sea,2918,7377,2727,238,,,,,,
969,04898111749699754,,599,948,3987,3536,4242,3137,3316,sea,599,948,1693,660,,,,,,
970,04143368382792763,,2336,2252,3271,3179,4515,3418,3751,sea,2336,2252,3083,3650,,,,,,
971,04841253368468761,,3437,2218,4279,4574,4783,4832,4424,sea,7707,2218,1413,3866,,,,,,
972,04136397737397933,,1837,4907,4840,3647,4907,3970,3414,sea,1837,9177,892,1882,,,,,,
973,04268652483363358,,1072,104,4399,4318,4740,3001,3297,sea,1072,104,1268,3699,,,,,,
974,04759683585175515,,2363,1430,4246,3983,4025,4068,4697,sea,2363,1430,1681,1460,,,,,,
975,04627554317317485,,2363,1429,4248,4471,4572,4396,3267,sea,2363,1429,192,1498,,,,,,
976,04888556595435126,,1094,4024,3458,3953,3889,4931,4279,sea,1094,8294,1143,779,,,,,,
977,04676539958588483,,444,317,3714,3269,3714,3710,3472,sea,444,317,3022,564,,,,,,
978,04421183425635440,,3856,816,4664,4114,3649,4962,3751,sea,8126,816,1139,3988,,,,,,
979,04649681556366461,,3074,2963,4687,4042,4209,4353,4279,sea,7344,2963,67,573,,,,,,
980,04371164445395596,,1963,2265,4323,3358,3020,4969,4086,sea,1963,2265,123,256,,,,,,
981,04482811286316925,,76,1536,3665,4928,4717,4832,3295,sea,76,1536,4267,3883,,,,,,
982,04743853242212252,,2491,327,3789,4615,3227,4314,4480,sea,2491,327,1662,2211,,,,,,
983,04394344134814930,,1223,2448,3618,3955,4040,3469,3642,sea,1223,2448,3133,719,,,,,,
984,04739595982422726,,2363,4269,4699,4991,4561,4859,4626,sea,2363,8539,1635,1491,,,,,,
985,04932857836466948,,2786,2448,4597,3955,4424,3644,3446,sea,2786,2448,3179,3993,,,,,,
986,04272541599529624,,774,1408,3526,3157,4635,4888,3437,sea,774,1408,3291,4109,,,,,,
987,04971423515375734,,4480,2452,3165,4216,3201,4581,3631,sea,8750,2452,2859,2200,,,,,,
988,04715561955615945,,2027,1132,3252,3584,4908,4666,4535,sea,2027,1132,7,1945,,,,,,
989,04983733559279895,,1219,1645,4048,4482,3272,3437,3437,sea,1219,1645,2370,3807,,,,,,
990,04599753644124294,,731,2798,3345,4062,3723,4538,3111,sea,731,2798,3260,2034,,,,,,
991,04439821467587554,,2363,3311,3076,3716,3496,4828,3098,sea,2363,7581,3204,1490,,,,,,
992,04276977145425137,,4564,869,3621,4465,3147,4997,4810,sea,8834,869,3080,612,,,,,,
993,04665353835175191,,552,3734,4866,4114,4452,3591,3421,sea,552,8004,282,550,,,,,,
994,04625855419519794,,1144,2998,3481,3556,4835,4538,3128,sea,1144,2998,1026,1873,,,,,,
995,04213457818278341,,614,2448,4597,3955,3060,3501,3501,sea,614,2448,3168,237,,,,,,
996,04158515287957588,,4902,3302,4204,3271,3060,4385,3060,sea,9172,7572,3080,239,,,,,,
997,04778694956826566,,666,893,3457,3615,3613,4287,4966,sea,666,893,2770,3485,,,,,,
