Port Key,Address Key,Port Name,Port Type,Port Size,UN/LOCODE,Phone,Fax,800 Number,Email,Web Site
866,3866,Nuevitas,"Pier, Jetty or Wharf",Small,,,,,,
867,3867,Palo Alto,,,,,,,,
868,3868,Preston,,,GBPRE,,,,,
869,3869,Puerto Padre,"Pier, Jetty or Wharf",Very Small,,,,,,
870,3870,Puerto Tarafa,,,,,,,,
871,3871,Punta Gorda,,,,,,,,
872,3872,Santa Cruz del Sur,Harbor,Small,,,,,,
873,3873,Santa Lucia,,,,,,,,
874,3874,Santiago,,,,,,,,
875,3875,Tanamo,"Pier, Jetty or Wharf",Very Small,,,,,,
876,3876,Tunas de Zaza,"Pier, Jetty or Wharf",Very Small,,,,,,
877,3877,Vita,"Pier, Jetty or Wharf",Very Small,,,,,,
878,3878,Willemstad,,,ANWIL,,,,,
879,3879,Famagusta,Seaport,Small,,90 392 365 4388,,,,
880,3880,Kalecik,,,,,,,,
881,3881,Karavostassi,,,,,,,,
882,3882,Kyrenia,,,,,,,,
883,3883,Larnaca,Harbor,Small,,357 22817200,357 22765420,,cpa@cpa.gov.cy,www.cpa.gov.cy
884,3884,Latchi,,,,,,,,
885,3885,Limassol,Seaport,Medium,CYLMS,357 22817200,357 22765420,,cpa@cpa.gov.cy,www.cpa.gov.cy
886,3886,Teknecik,,,,,,,,
887,3887,Vassiliko,,,,,,,,
888,3888,Prague,,,,,,,,
889,3889,Rudna,,,,,,,,
890,3890,Banana,"Pier, Jetty or Wharf",Small,,243 1 522 4761,243 1 522 2892,,,
891,3891,Boma,Seaport,Small,CDBOA,,,,,
892,3892,Matadi,River Port,Small,CDMAT,243 1 522 4761,243 1 522 2892,,,
893,3893,Aabenraa,Seaport,Small,,45 74 62 25 14,45 74 62 31 43,,port@aabenraaport.dk,www.aabenraaport.dk
894,3894,Aalborg,River Port,Medium,DKAAL,45 99 30 15 00,45 99 30 15 15,,info@aalborghavn.dk,www.aalborghavn.dk
895,3895,Aarhus,,,DKAAR,,,,,
896,3896,Aeroskobing,,,,,,,,
897,3897,Allinge,Harbor,Small,,45 56 48 00 75,,,,
898,3898,Asnaes,Harbor,Small,,45 64 71 31 65,45 64 71 31 54,,,
899,3899,Asnaesvaerkets Havn,,,,,,,,
900,3900,Bandholm,,,,,,,,
901,3901,Bogense,,,,,,,,
902,3902,Brabrand,,,,,,,,
903,3903,Brondby,,,,,,,,
904,3904,Copenhagen,,,,,,,,
905,3905,Dania,,,,,,,,
906,3906,Ebeltoft,Harbor,Small,,45 86 34 31 24,,,,
907,3907,Elsinore,Harbor,Small,,+45 49 21 05 15,+45 49 21 72 99,,info@helsingoerhavn.dk,www.helsingoerhavn.dk
908,3908,Ensted,,,,,,,,
909,3909,Esbjerg,Seaport,Medium,DKEBJ,+45 75 12 41 44,+45 75 13 40 50,,adm@portesbjerg.dk,www.port-of-esbjerg.dk
910,3910,Faaborg,Harbor,Small,,45 62 61 16 87,45 62 61 16 57,,laol@faaborg.dk,
911,3911,Fakse Ladeplads,,,,,,,,
912,3912,Fredericia,Seaport,Small,DKFRC,+45 7921 5000,+45 7921 5005,,post@adp-as.dk,www.adp-as.com
913,3913,Frederiksberg,,,,,,,,
914,3914,Frederikshavn,Seaport,Small,,45 9620 47 00,45 9620 47 11,,info@frederikshavnhavn.dk,www.frederikshavnhavn.dk
915,3915,Frederikssund,Harbor,Small,,,,,,
916,3916,Frederiksvark,,,,,,,,
917,3917,Gedser,Harbor,Small,,45 54179245,45 54149186,,,
918,3918,Graasten,,,,,,,,
919,3919,Grenaa,Seaport,Small,,+45 87 58 76 00,,,port@port-of-grenaa.com,www.port-of-grenaa.com
920,3920,Gulfhavn,,,,,,,,
921,3921,Haderslev,Harbor,Small,,45 74 52 24 04,45 74 52 56 39,,jchansen@vip.cybercity.dk,
922,3922,Hadsund,River Port,Small,,45 40 43 41 96,,,,
923,3923,Hammerhavn,,,,,,,,
924,3924,Hanstholm,Seaport,Small,,96 55 07 10,96 55 07 20,,info@portofhanstholm.dk,www.portofhanstholm.dk
925,3925,Hasle,Harbor,Small,,45 56 96 41 82,45 56 96 41 74,,,
926,3926,Havdrup,,,,,,,,
927,3927,Hirtshals,Seaport,Small,DKHIR,45 98 94 14 22,45 98 94 42 93,,hirtshalshavn@hirtshalshavn.dk,www.hirtshalshavn.dk
928,3928,Hobro,Harbor,Small,,45 96 57 65 00,45 98 51 16 38,,,
929,3929,Holbaek,,,,,,,,
930,3930,Horsens,Seaport,Small,,+45 75621014,+45 75621457,,horsens.havn@horsens.dk,www.horsenshavn.dk
931,3931,Hvide Sande,,,,,,,,
932,3932,Kalundborg,Seaport,Small,DKKAL,45 5953 4000,45 5953 4003,,info@portofkalundborg.dk,www.portofkalundborg.dk
933,3933,Kastrup,,,,,,,,
934,3934,Kerteminde,Harbor,Small,DKKTD,45 65 32 37 33,45 65 32 53 44,,aho@kerteminde.dk,www.kerteminde.dk
935,3935,Kobenhavn,Seaport,Large,DKCPH,45 35 46 11 11,45 35 46 11 64,,cmport@cmport.com,www.cmport.com
936,3936,Koge,,,,,,,,
937,3937,Kolding,Seaport,Small,,+45 7550 2066,+45 7550 2058,,koldingport@kolding.dk,www.koldingport.dk
938,3938,Korsoer,,,,,,,,
939,3939,Kyndby,,,,,,,,
940,3940,Laesohavn,,,,,,,,
941,3941,Lemvig,Harbor,Small,,45 97 82 01 06,45 99 63 12 30,,,
942,3942,Mariager,,,,,,,,
943,3943,Marstal,Harbor,Small,,45 63 52 63 65,45 63 52 63 66,,havn@marstal.dk,
944,3944,Masnedsund,,,,,,,,
945,3945,Middelfart,Seaport,Small,,+45 7921 5000,+45 7921 5005,,post@adp-as.dk,www.adp-as.com
946,3946,Naestved,,,,,,,,
947,3947,Nakskov,Seaport,Small,,45 54 97 03 30,45 54 92 51 13,,hab@nakskov.dk,
948,3948,Nekso,Harbor,Small,,45 56 49 22 50,45 56 49 44 97,,,
949,3949,Nykobing,Seaport,Medium,,+45 7921 5000,+45 7921 5005,,post@adp-as.dk,www.adp-as.com
950,3950,Odense,River Port,Small,DKODE,+45 7228 2000,+45 7228 2030,,odense.port@odensehavn.dk,www.odensehavn.dk
951,3951,Orehoved,,,,,,,,
952,3952,Randers,River Port,Small,,45 8642 1057,45 8640 7181,,randershavn@randers.dk,www.randershavn.dk
953,3953,Ringkobing,Harbor,Small,,45 97 32 40 59,45 97 32 40 69,,tjeb@ringkom.dk,
954,3954,Rodbyhavn,Seaport,Small,,45 5465 7180,45 5465 7181,,,
955,3955,Ronne,Harbor,Small,,45 56 95 21 50,45 56 95 06 31,,roennehavn@roennehavn.dk,www.roennehavn.dk
956,3956,Rudkobing,Seaport,Small,,45 63 51 11 70,45 63 51 11 71,,,
957,3957,Sakskobing,,,,,,,,
958,3958,Samso Island,,,,,,,,
959,3959,Skaelskor,,,,,,,,
960,3960,Skaerbaek,,,,,,,,
961,3961,Skagen,Harbor,Small,DKSKA,+45 9844 6911,+45 9844 5445,,sh@skagenhavn.dk,www.skagenhavn.dk
962,3962,Skaw,,,,,,,,
963,3963,Skive,Harbor,Small,,45 9752 1488,45 9752 7488,,jh@skiveshipping.dk,www.skiveshipping.dk
964,3964,Sonderborg,Seaport,Small,,45 74 42 27 65,45 74 43 30 19,,havnen@sonderborg.dk,www.sonderborg-kommune.dk
965,3965,Stigsnaesvaerkets Havn,,,,,,,,
966,3966,Struer,Seaport,Small,,45 97 85 02 28,45 97 85 54 34,,Struer@havn.dk,www.struerhavn.dk
967,3967,Stubbekobing,Harbor,Small,,45 54 44 10 92,45 54 44 12 40,,,
968,3968,Studstrup,,,,,,,,
969,3969,Svaneke,Harbor,Small,,,,,,
970,3970,Svendborg,Seaport,Small,DKSVE,45 62 21 06 57,45 62 22 06 79,,,
971,3971,Tisted,,,,,,,,
972,3972,Tuborg Havn,,,,,,,,
973,3973,Vejle,Harbor,Small,,45 7582 0466,45 7583 8754,,vejleport@vejleport.dk,www.vejleport.dk
974,3974,Vesterohavn,,,,,,,,
975,3975,Viborg,,,,,,,,
976,3976,Vordingborg,Harbor,Small,,45 55 35 33 53,45 55 35 33 56,,tek@vordbkom.dk,
977,3977,Djibouti,Seaport,Medium,DJPOD,253 35 23 31,253 35 61 87,,port@intnet.dj,www.dpworld-djiboutiport.com
978,3978,Portsmouth,Harbor,Small,USPTM,767 448 4431,767 448 6131,,domport@cwdom.dm,
979,3979,Roseau,Seaport,Small,DMRSU,767 448 4431,767 448 6131,,domport@cwdom.dm,
980,3980,AES Andres LNG Terminal,,,,,,,,
981,3981,Azua,,,,,,,,
982,3982,Barahona,,,,,,,,
983,3983,Boca Chica,Seaport,Small,,809 523 4320,,,,www.apordom.gov.do
984,3984,Cabo Rojo,"Pier, Jetty or Wharf",Very Small,,,,,,www.apordom.gov.do
985,3985,Caucedo,,,DOCAU,,,,,
986,3986,La Romana,Harbor,Small,,809 556 3285,,,,www.apordom.gov.do
987,3987,Manzanillo,"Pier, Jetty or Wharf",Very Small,PAMIT,,,,,www.apordom.gov.do
988,3988,Palenque,Off-Shore Terminal,Very Small,,,,,,www.apordom.gov.do
989,3989,Puerto Plata,Harbor,Small,DOPOP,809 586 6566,,,,www.apordom.gov.do
990,3990,Puerto Viejo de Azua,"Pier, Jetty or Wharf",Very Small,,,,,,www.apordom.gov.do
991,3991,Rio Haina,Harbor,Medium,DOHAI,808 537 0055,,,,www.apordom.gov.do
992,3992,Samana,,,,,,,,
993,3993,San Pedro De Masan P,Harbor,Small,,809 529 2069,,,,www.apordom.gov.do
994,3994,Santo Domingo,Harbor,Medium,DOSDQ,,,,,www.apordom.gov.do
995,3995,Bahia De Caraquez,Harbor,Small,,,,,,
996,3996,Esmeraldas,Harbor,Small,ECESM,593-6 2721352,593-6 2721354,,sugerencias@puertoesmeraldas.gov.ec,www.puertoesmeraldas.gov.ec
997,3997,Guayaquil,Seaport,Medium,ECGYE,,,,,www.puertodeguayaquil.com
998,3998,La Libertad,"Pier, Jetty or Wharf",Small,SVLLD,,,,,
999,3999,Manta,"Pier, Jetty or Wharf",Small,ECMEC,593 - 5 2627161,593 - 5 2621861,,apm1@apm.gov.ec,www.apmanta.gov.ec
1000,4000,Puerto Bolivar,Seaport,Small,ECPBO,593 07 2929999,,,appb@eo.pro.ec,www.appb.gov.ec
1001,4001,Salinas,,,,,,,,
1002,4002,San Lorenzo,"Pier, Jetty or Wharf",Very Small,HNSLO,,,,,
1003,4003,Abu Qir,,,,,,,,
1004,4004,Abu Zenima,,,,,,,,
1005,4005,Adabiya,Seaport,Small,,062 230033,062 331117,,,www.mts.gov.eg
1006,4006,Ain Sokhna,,,,,,,,
1007,4007,Ain Sukhna,Off-Shore Terminal,Very Small,EGAIS,20 3 5824138,20 3 5827613,,sumed@sumed.org,www.sumed.org
1008,4008,Alexandria,,,,,,,,
1009,4009,Damietta,Seaport,Medium,,2057-325940,2057-325930,,,www.dam-port.com
1010,4010,El Dekheila,,,EGEDK,,,,,
1011,4011,El Iskandariya (Alexandria),,,EGALY,,,,,
1012,4012,El Meks,,,,,,,,
1013,4013,Geisum Terminal,,,,,,,,
1014,4014,Hamrawein,,,,,,,,
1015,4015,Kosseir,,,,,,,,
1016,4016,Maadiya Port,,,,,,,,
1017,4017,Mersa el Hamra,,,,,,,,
1018,4018,Nuweibah,,,,,,,,
1019,4019,Port Said,Seaport,Medium,EGPSD,20 66 3348270,20 66 3348262,,info@psdports.org,www.psdports.org
1020,4020,Ras Budran,,,,,,,,
1021,4021,Ras Sudr,,,,,,,,
1022,4022,Sidi Kerir Terminal,,,,,,,,
1023,4023,Suez Canal,,,,,,,,
1024,4024,Za'farana Terminal,,,,,,,,
1025,4025,Zeit Bay Terminal,,,,,,,,
1026,4026,Acajutla,Seaport,Medium,SVAQJ,503 2452-3200,,,webmaster@cepa.gob.sv,www.puertoacajutla.gob.sv
1027,4027,Cutuco,,,,,,,,
1028,4028,La Libertad,,,SVLLD,,,,,
1029,4029,Bata,"Pier, Jetty or Wharf",Small,GQBSG,,,,,
1030,4030,Benito,,,,,,,,
1031,4031,Ceiba Marine Terminal,,,,,,,,
1032,4032,Cogo,"Pier, Jetty or Wharf",Very Small,,,,,,
1033,4033,Luba,Seaport,Small,,240 275418,240 097074,,info@lubafreeport.com,www.lubafreeport.com
1034,4034,Malabo,Harbor,Small,GQSSG,240 9 3564,240 9 2210,,,
1035,4035,Puerto Iradier,,,,,,,,
1036,4036,Punta Europa Terminal,,,,,,,,
1037,4037,Zafiro Marine Terminal,,,,,,,,
1038,4038,Assab,,,ERASA,,,,,
1039,4039,Massawa,,,,,,,,
1040,4040,Heltermaa,,,,,,,,
1041,4041,Kopli-Port Of Tallinn,,,,,,,,
1042,4042,Kuivastu,,,,,,,,
1043,4043,Kunda,,,,,,,,
1044,4044,Muuga-Port Of Tallinn,,,,,,,,
1045,4045,Paldiski-Port Of Tallinn,Harbor,Small,,372 674 1202,372 674 1035,,,
1046,4046,Pyarnu,,,,,,,,
1047,4047,Rohukula,,,,,,,,
1048,4048,Roomassaare,,,,,,,,
1049,4049,Tallinn,Seaport,Medium,EETLL,(372)6 31 85 55,(372)6 31 81 66,,portoftallinn@portoftallinn.com,www.portoftallinn.com
1050,4050,Virtsu,,,,,,,,
1051,4051,Stanley,,,,,,,,
1052,4052,Fuglafjordur,,,,,,,,
1053,4053,Klaksvik,,,,,,,,
1054,4054,Kollafjordur,,,,,,,,
1055,4055,Midvaag,,,,,,,,
1056,4056,Runavik,,,,,,,,
1057,4057,Skaala,,,,,,,,
1058,4058,Soervaag,,,,,,,,
1059,4059,Strendur,,,,,,,,
1060,4060,Thorshavn,,,FOTHO,,,,,
1061,4061,Tvoroyri,,,,,,,,
1062,4062,Vagur,,,,,,,,
1063,4063,Vestmanna,,,,,,,,
1064,4064,Lambasa,,,,,,,,
1065,4065,Lautoka,"Pier, Jetty or Wharf",Very Small,FJLTK,679 6662160,679 6665799,,,www.fijiports.com.fj
1066,4066,Levuka,Harbor,Small,,679 3440189,679 3440261,,,www.fijiports.com.fj
1067,4067,Savu Savu,"Pier, Jetty or Wharf",Very Small,,679 3312700,679 3315549,,,www.fijiports.com.fj
1068,4068,Suva,Seaport,Medium,FJSUV,679 3312700,679 3315549,,,www.fijiports.com.fj
1069,4069,Degerby,,,,,,,,
1070,4070,Ekenas,,,,,,,,
1071,4071,Hamina,Seaport,Medium,,358 5-225 5400,358 5-225 5419,,office@portofhamina.fi,www.portofhamina.fi
1072,4072,Hanko,,,,,,,,
1073,4073,Haukipudas,"Pier, Jetty or Wharf",Small,,358 8 400122,,,,
1074,4074,Helsinki,Seaport,Large,,+358-9-173 331,+358-9-1733 3232,,port.helsinki@hel.fi,www.portofhelsinki.fi
1075,4075,Imatra,Harbor,Small,,,,,,
1076,4076,Inkoo,Harbor,Small,,358 207 631 500,358 207 631 501,,inkooshp@inkooshipping.fi,www.inkooshipping.fi
1077,4077,Isnas,Harbor,Small,,358 40 900 5510,358 9 6843 2430,,,
1078,4078,Jakobstad,Seaport,Medium,,,,,,www.portofpietarsaari.fi
1079,4079,Joensuu,Harbor,Medium,,358 13 267 3545,358 13 267 3548,,,www.jns.fi
1080,4080,Joutseno,Harbor,Small,,358 5 544 1700,358 5 544 1750,,,
1081,4081,Kaskinen,Harbor,Small,,358 6 220 7283,358 6 220 7283,,portofkaskinen@kaskinen.fi,www.kaskinen.fi
1082,4082,Kaukas,,,,,,,,
1083,4083,Kemi,Harbor,Small,,358 0 16 215 1600,358 0 16 215 1620,,,www.keminsatama.fi
1084,4084,Kokkola,Seaport,Medium,,+358 (0)6 8242 400,+358 (0)6 8242 444,,satama@kokkola.fi,www.port.of.kokkola.fi
1085,4085,Kotka,Harbor,Small,FIKTK,358 5 234 4280,358 5 218 1375,,office@portofkotka.fi,www.portofkotka.fi
1086,4086,Kouvola,,,,,,,,
1087,4087,Koverhar,Harbor,Small,,358 19 221 4281,358 19 244 3121,,,
1088,4088,Kristinestad,,,,,,,,
1089,4089,Kumpusalmi,Harbor,Small,,358 17 185192,358 17 185196,,,
1090,4090,Lapaluoto,,,,,,,,
1091,4091,Loviisa,Marina,Small,,358 19 555 731,38 19 515 055,,lauri.heikkila@loviisa.fi,www.loviisa.fi
1092,4092,Mantyluoto,,,FIMTL,,,,,
1093,4093,Mariehamn,Harbor,Small,,358 18 531470,358 18 531479,,,
1094,4094,Merikarvia,Harbor,Small,,358 2 540333,358 2 551 2074,,,
1095,4095,Mustola,Harbor,Small,,358 5 616 6073,358 5 616 6075,,satamalaitos@lappeenranta.fi,www.lappeenranta.fi/mustola
1096,4096,Naantali,Harbor,Small,,+358 2 437 5511,+358 2 435 1727,,yrjo.vainiala@naantali.fi,www.naantali.fi/satama
1097,4097,Oulu,,,FIOLU,,,,,
1098,4098,Pargas,Harbor,Small,,,,,,
1099,4099,Pateniemi,,,,,,,,
1100,4100,Pori,,,,,,,,
1101,4101,Porvoo,,,,,,,,
1102,4102,Puhos,,,,,,,,
1103,4103,Raahe,,,,,,,,
1104,4104,Rahja,Harbor,Small,,358 8 46911,358 8 469 1314,,,
1105,4105,Rauma,Seaport,Medium,,+358 (0)2 834 4712,+358 (0)2 822 6369,,harbour.office@portofrauma.com,www.portofrauma.com
1106,4106,Reposaari,,,,,,,,
1107,4107,Ristiina,Harbor,Small,,358 204 15182,,,,
1108,4108,Savonlinna,,,,,,,,
1109,4109,Siilinjarvi,"Pier, Jetty or Wharf",Very Small,,358 10 861215,358 10 862 6000,,,
1110,4110,Tahkoluoto,,,,,,,,
1111,4111,Tolkkinen-Tolkis,,,,,,,,
1112,4112,Tornio,,,,,,,,
1113,4113,Turku,,,,,,,,
1114,4114,Uto,,,,,,,,
1115,4115,Uusikaupunki,,,,,,,,
1116,4116,Vaasa,,,,,,,,
1117,4117,Varkaus Harbours,Off-Shore Terminal,Small,,358 17 579411,358 17 579 4641,,,
1118,4118,Vaskiluoto,,,,,,,,
1119,4119,Veitsiluoto,,,,,,,,
1120,4120,Vuoksen Terminal,,,,,,,,
1121,4121,Ykspihlaja,,,,,,,,
1122,4122,Abbeville,,,,,,,,
1123,4123,Ajaccio,Seaport,Small,,04 95 51 21 80,04 95 21 07 86,,jy.battesti@sudcorse.cci.fr,www.corse-du-sud.cci.fr
1124,4124,Arcachon,Harbor,Small,,05 56 22 36 70,05 56 22 36 74,,,www.arcachon.com
1125,4125,Bassens,,,FRBAS,,,,,
1126,4126,Bayonne,Seaport,Medium,FRBAY,00 33 5 59 46 59 46,00 33 5 59 46 59 47,,exploitation@bayonne.cci.fr,www.bayonne.cci.fr
1127,4127,Belfort,,,,,,,,
1128,4128,Bonifacio,Harbor,Small,,04 95 51 21 80,04 95 21 07 86,,jy.battesti@sudcorse.cci.fr,www.corse-du-sud.cci.fr
1129,4129,Bordeaux,River Port,Medium,FRBOD,33 5 56 90 58 00,33 5 56 90 58 77,,postoffice@bordeaux-port.fr,www.bordeaux-port.fr
1130,4130,Boulogne Sur Mer,Seaport,Medium,,03.21.99.62.00,03.21.99.62.01,,,www.portboulogne.com
1131,4131,Bourges,,,,,,,,
1132,4132,Brest,Deepwater Seaport,Large,FRBES,33 2 98 46 87 46,33 2 98 43 24 56,,service.commercial@port.cci-brest.fr,www.brest.port.fr
1133,4133,Caen,River Port,Medium,,02.31.35.63.00,02.31.35.63.06,,info@caen.port.fr,www.caen.port.fr
1134,4134,Calvi,Harbor,Small,,33 4 95 65 05 21,33 4 95 65 15 13,,omt.calvi@wanadoo.fr,
1135,4135,Camaret,,,,,,,,
1136,4136,Cancale,,,,,,,,
1137,4137,Cannes,Harbor,Small,,33 4 20 42 55 55,33 4 92 98 70 01,,port.cannes@cote-azur.cci.fr,www.riviera-ports.com
1138,4138,Commercy,,,,,,,,
1139,4139,Concarneau,Harbor,Small,,33 2 98 50 79 91,33 2 98 50 85 41,,,
1140,4140,Conflandey,,,,,,,,
1141,4141,Deauville,Harbor,Small,,33 2 31 98 50 40,,,,
1142,4142,Donges,,,,,,,,
1143,4143,Douvaine,,,,,,,,
1144,4144,Dunkerque,Harbor,Medium,FRDKK,00 33 3 28 28 75 91,00 33 3 28 28 75 97,,njuhere@portdedunkerque.fr,www.portdedunkerque.fr
1145,4145,Fecamp,Harbor,Small,,33 2 35 10 38 38,33 2 35 29 94 60,,info@fecamp.cci.fr,www.fecamp.cci.fr
1146,4146,Fismes,,,,,,,,
1147,4147,Fos Sur Mer,Seaport,Medium,,33 4 91 39 40 00,33 4 91 39 57 00,,gpmm@marseille-port.fr,www.marseille-port.fr
1148,4148,Gennevilliers,River Port,Medium,,01 40 58 29 99,01 45 78 08 57,,dcom@paris-ports.fr,www.paris-ports.fr
1149,4149,Granville,Harbor,Small,,33 2 33 91 28 28,33 2 33 91 28 29,,,
1150,4150,Gravelines,Harbor,Small,,33 3 28 23 13 42,33 3 28 23 00 57,,,
1151,4151,Guimerville,,,,,,,,
1152,4152,Ham,,,,,,,,
1153,4153,Honfleur,,,FRHON,,,,,
1154,4154,Izon,,,,,,,,
1155,4155,Langres,,,,,,,,
1156,4156,La Pallice,Seaport,Medium,FRLPE,33 5 46 00 53 60,33 5 46 43 12 54,,lapallice@larochelle.port.fr,www.larochelle.port.fr
1157,4157,La Rochelle-Pallice,Harbor,Small,,33 5 46 00 53 60,33 5 46 43 12 54,,lapallice@larochelle.port.fr,www.larochelle.port.fr
1158,4158,Lavera,,,,,,,,
1159,4159,Le Chateau D'Oleron,,,,,,,,
1160,4160,Le Guildo,,,,,,,,
1161,4161,Le Havre,Deepwater Seaport,Large,FRLEH,33 2 32 74 74 00,33 2 32 74 74 29,,internetpah@havre-port.fr,www.havre-port.net
1162,4162,Les Sables d'Olonne,,,,,,,,
1163,4163,Le Treport,Harbor,Small,FRLTR,33 2 35 86 27 67,33 2 35 50 22 96,,cci-letreport@calva.net,
1164,4164,Le Verdon,,,,,,,,
1165,4165,Libourne,River Port,Small,,,,,,
1166,4166,L'Ile Rousse,,,,,,,,
1167,4167,Liomer,,,,,,,,
1168,4168,Loctudy,,,,,,,,
1169,4169,Lyon,,,,,,,,
1170,4170,Marans,River Port,Small,,33 5 46 01 10 35,,,,
1171,4171,Marmande,,,,,,,,
1172,4172,Marseille,Seaport,Large,FRMRS,33 4 91 39 40 00,33 4 91 39 57 00,,gpmm@marseille-port.fr,www.marseille-port.fr
1173,4173,Mercurey,,,,,,,,
1174,4174,Merpins,,,,,,,,
1175,4175,Montoir De Bretagne,,,,,,,,
1176,4176,Morlaix,Harbor,Small,,33 2 98 62 39 39,33 2 98 62 39 50,,cint-292@morlaix.cci.fr,
1177,4177,Morteau,,,,,,,,
1178,4178,Mulhouse Nord,,,,,,,,
1179,4179,Ouistreham,,,,,,,,
1180,4180,Paimboeuf,Seaport,Small,,33 2 40 27 50 19,,,,
1181,4181,Paimpol,Harbor,Small,,33 2 96 20 80 48,33 2 96 20 42 96,,,
1182,4182,Persan,,,,,,,,
1183,4183,Plailly,,,,,,,,
1184,4184,Port De Bouc,,,,,,,,
1185,4185,Port La Nouvelle,,,,,,,,
1186,4186,Porto Vecchio,Harbor,Small,,04 95 51 21 80,04 95 21 07 86,,jy.battesti@sudcorse.cci.fr,www.corse-du-sud.cci.fr
1187,4187,Port Vendres,,,,,,,,
1188,4188,Propriano,Harbor,Small,,04 95 51 21 80,04 95 21 07 86,,jy.battesti@sudcorse.cci.fr,www.corse-du-sud.cci.fr
1189,4189,Quiberon,,,,,,,,
1190,4190,Roscoff-Bloscon,Harbor,Small,,02.98.61.27.85,02.98.19.31.87,,roscoff@morlaix.cci.fr,www.morlaix.cci.fr
1191,4191,Roubaix,,,,,,,,
1192,4192,Rouen,River Port,Medium,FRURO,33.02.35.52.54.56,33.02.35.52.54.13,,informatique@rouen.port.fr,www.rouen.port.fr
1193,4193,Sete,Seaport,Medium,FRSET,04 67 46 28 28,04 67 46 28 18,,president@sete.cci.fr,www.sete.port.fr
1194,4194,Strasbourg,River Port,Medium,,33 03 88 21 74 74,33 03 88 23 56 57,,pas@strasbourg.port.fr,www.strasbourg.port.fr
1195,4195,St Valery-en-Caux,,,,,,,,
1196,4196,St Valery-sur-Somme,,,,,,,,
1197,4197,Talence,,,,,,,,
1198,4198,Toul,,,,,,,,
1199,4199,Toulouse,,,,,,,,
1200,4200,Treguier,River Port,Small,,,,,,www.cotesdarmor.cci.fr
1201,4201,Ury,,,,,,,,
1202,4202,Vannes,Harbor,Small,,33 2 97 54 80 00,33 2 97 54 80 56,,,
1203,4203,Verberie,,,,,,,,
1204,4204,Versailles,,,,,,,,
1205,4205,Yenne,,,,,,,,
1206,4206,Cayenne,Seaport,Medium,GFCAY,05 94 35 44 90,,,,www.guyane.cci.fr
1207,4207,Degrad des Cannes,,,GFDDC,,,,,
1208,4208,Kourou,"Pier, Jetty or Wharf",Very Small,,,,,,
1209,4209,St Laurent du Maroni,"Pier, Jetty or Wharf",Very Small,,,,,,
1210,4210,Bora-Bora,"Pier, Jetty or Wharf",Very Small,,5054 54,42 19 50,,direction@portppt.pf,www.portdepapeete.pf
1211,4211,Papeete,Harbor,Medium,PFPPT,5054 54,42 19 50,,direction@portppt.pf,www.portdepapeete.pf
1212,4212,Cap Lopez,,,GACLZ,,,,,
1213,4213,Gamba,,,,,,,,
1214,4214,Libreville,Harbor,Small,GALBV,241 70 00 48,241 70 37 35,,info@ports-gabon.com,www.ports-gabon.com
1215,4215,Lucina Terminal,,,,,,,,
1216,4216,Mayumba,,,,,,,,
1217,4217,M'Bya Terminal,,,,,,,,
1218,4218,Nyanga,,,,,,,,
1219,4219,Oguendjo Terminal,,,,,,,,
1220,4220,Owendo,,,GAOWE,,,,,
1221,4221,Port Gentil,Seaport,Medium,GAPOG,241 70 00 48,241 70 37 35,,info@ports-gabon.com,www.ports-gabon.com
1222,4222,Tchatamba Marine Terminal,,,,,,,,
1223,4223,Banjul,"Pier, Jetty or Wharf",Small,GMBJL,220 227266,220 227268,,info@gamport.gm,www.gamport.gm
1224,4224,Batumi,Seaport,Medium,GEBUS,995 222 7-62-61,995 222 7-69-58,,bsport@batumiport.com,www.batumiport.com
1225,4225,Poti,Seaport,Medium,GEPTI,995 393 20660,995 393 20688,,admin@potiseaport.com,www.potiseaport.com
1226,4226,Sukhumi,,,,,,,,
1227,4227,Supsa,,,,,,,,
1228,4228,Agio Theodoroi,River Port,Medium,,49 0 721 599 74 00,49 0 721 599 74 09,,schwarzer@rheinhafen.de,www.rheinhafen.de
1229,4229,Berlin,,,,,,,,
1230,4230,Bonn,,,,,,,,
1231,4231,Bramel,,,DEBRA,,,,,
1232,4232,Braunschweig,,,,,,,,
1233,4233,Bremen,River Port,Medium,DEBRE,49 421 361 8504,49 421 361 8387,,bremen-port@hbh.bremen.de,www.bremen-ports.de
1234,4234,Bremerhaven,Seaport,Large,DEBRV,49 421 361 8504,49 421 361 8387,,bremen-port@hbh.bremen.de,www.bremen-ports.de
1235,4235,Brunsbuttel,Seaport,Medium,DEBRB,49 0 4852 884-0,49 0 4852 884-26,,info@elbehafen.de,www.elbehafen.de
1236,4236,Busum,Harbor,Small,,49 483 43607,49 483 493 6383,,hafen.buesum@alr-husum.landsh.de,
1237,4237,Butzfleth,River Port,Small,,,,,,
1238,4238,Cologne,,,,,,,,
1239,4239,Cuxhaven,Harbor,Small,DECUX,+49-4721-748-0,+49-4721-748-122,,info@cuxport.de,www.cuxport.de
1240,4240,Dortmund,,,,,,,,
1241,4241,Duisburg,River Port,Large,,49 0 203-803-1,49 0 203-803-232,,mail@duisport.de,www.duisport.de
1242,4242,Dusseldorf,River Port,Medium,DEDUS,49 2131 53230,49 213 1532 3105,,info@nd-haefen.de,www.nd-haefen.de
