Commodity Key,HS Code,Description,Package Size (m^3),Package Weight (kg),Densities (kg/m^3)
1054,320990,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",0.267,117.81,441.226
1055,711021,Nulla tempus.,4.792,4922.62,1027.258
1056,902000,Nulla justo.,0.205,295.57,1441.799
1057,291733,Aenean lectus.,3.073,380.11,123.695
1058,010620,In hac habitasse platea dictumst.,5.278,3307.70,626.695
1059,740822,Duis bibendum.,2.728,193.72,71.010
1060,290941,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3.114,104.40,33.526
1061,490510,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",3.388,783.58,231.280
1062,480459,Duis bibendum.,0.304,116.49,383.189
1063,010619,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.573,1214.26,771.938
1064,280200,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0.588,669.76,1139.056
1065,392321,Pellentesque ultrices mattis odio.,1.229,1068.42,869.338
1066,070529,Maecenas pulvinar lobortis est.,2.546,1862.79,731.654
1067,600541,Donec ut mauris eget massa tempor convallis.,0.838,772.52,921.860
1068,430160,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.754,319.69,423.987
1069,730429,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0.933,863.07,925.051
1070,570232,Sed accumsan felis.,0.634,101.12,159.493
1071,440131,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1.131,1309.95,1158.227
1072,560311,Duis ac nibh.,1.364,479.44,351.497
1073,293943,Aliquam erat volutpat.,2.030,2333.31,1149.416
1074,210330,Nunc purus.,1.831,1567.75,856.228
1075,291719,In eleifend quam a odio.,1.582,703.90,444.942
1076,400299,Nunc rhoncus dui vel sem.,5.705,1641.55,287.738
1077,710691,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2.397,1980.36,826.184
1078,650610,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3.409,2486.76,729.469
1079,481151,Proin interdum mauris non ligula pellentesque ultrices.,2.450,2631.45,1074.062
1080,293491,Pellentesque eget nunc.,3.794,3133.39,825.881
1081,411320,Vivamus vel nulla eget eros elementum pellentesque.,0.552,155.55,281.787
1082,850980,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",5.019,2102.81,418.969
1083,660110,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0.675,288.19,426.954
1084,300390,Vivamus in felis eu sapien cursus vestibulum.,4.841,4578.08,945.688
1085,540769,Aliquam quis turpis eget elit sodales scelerisque.,2.364,2128.47,900.369
1086,292429,Duis mattis egestas metus.,0.150,154.36,1029.070
1087,700729,Nunc purus.,3.624,4403.98,1215.227
1088,370130,Suspendisse potenti.,1.030,591.10,573.883
1089,721931,Donec quis orci eget orci vehicula condimentum.,1.021,969.33,949.394
1090,843210,Donec ut mauris eget massa tempor convallis.,1.045,510.52,488.539
1091,521212,Nunc purus.,0.892,840.29,942.025
1092,620690,Aliquam non mauris.,3.583,2638.17,736.303
1093,480421,Curabitur gravida nisi at nibh.,0.798,164.52,206.167
1094,701951,Etiam vel augue.,4.368,5213.05,1193.463
1095,580122,Morbi a ipsum.,1.663,1292.87,777.434
1096,901841,In hac habitasse platea dictumst.,2.071,2032.83,981.571
1097,844711,Mauris ullamcorper purus sit amet nulla.,1.604,1723.55,1074.530
1098,290559,Donec ut dolor.,1.512,2323.40,1536.637
1099,420321,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0.698,772.80,1107.163
1100,550700,Mauris lacinia sapien quis libero.,6.920,2598.90,375.563
1101,240210,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4.864,1357.29,279.048
1102,321490,Aenean sit amet justo.,3.897,669.59,171.822
1103,853110,Nulla ut erat id mauris vulputate elementum.,0.637,216.64,340.102
1104,841350,Ut tellus.,2.475,544.28,219.911
1105,480220,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1.597,911.91,571.013
1106,160242,Nulla mollis molestie lorem.,2.098,2886.57,1375.869
1107,611780,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.888,786.17,416.405
1108,540772,Aenean lectus.,2.417,2569.66,1063.161
1109,293499,Integer non velit.,1.831,2320.36,1267.264
1110,841981,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.660,231.15,350.225
1111,761100,In congue.,1.957,1405.96,718.424
1112,290819,Praesent blandit.,0.072,81.71,1134.800
1113,711411,Cras pellentesque volutpat dui.,0.583,740.75,1270.584
1114,810930,Vivamus vestibulum sagittis sapien.,3.597,779.99,216.845
1115,293190,In blandit ultrices enim.,0.439,148.07,337.286
1116,030211,Sed accumsan felis.,2.619,1792.58,684.453
1117,610620,Morbi porttitor lorem id ligula.,1.837,694.89,378.277
1118,200510,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1.504,1200.34,798.096
1119,960110,Aliquam erat volutpat.,1.455,331.35,227.729
1120,550410,Vestibulum rutrum rutrum neque.,1.117,106.28,95.145
1121,852713,In hac habitasse platea dictumst.,0.499,293.79,588.753
1122,722810,Fusce consequat.,0.593,145.97,246.151
1123,551624,Maecenas tincidunt lacus at velit.,0.356,31.76,89.212
1124,130120,Vivamus vestibulum sagittis sapien.,0.351,207.54,591.283
1125,180690,Etiam pretium iaculis justo.,1.946,359.18,184.576
1126,841381,Vivamus vel nulla eget eros elementum pellentesque.,1.277,1544.84,1209.741
1127,520921,Vestibulum rutrum rutrum neque.,1.288,826.32,641.549
1128,480261,Nullam molestie nibh in lectus.,1.655,1388.54,838.995
1129,901490,Pellentesque viverra pede ac diam.,2.485,1409.73,567.295
1130,030829,Maecenas rhoncus aliquam lacus.,1.786,603.31,337.801
1131,780200,Nulla ac enim.,2.134,2178.94,1021.059
1132,130219,Etiam vel augue.,1.672,1126.59,673.796
1133,910221,Pellentesque eget nunc.,0.510,423.43,830.257
1134,844230,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0.369,28.32,76.752
1135,580410,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",4.155,4322.49,1040.311
1136,280461,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0.895,831.25,928.773
1137,610422,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1.495,1622.42,1085.231
1138,911290,In hac habitasse platea dictumst.,3.693,2388.84,646.855
1139,852550,In congue.,3.012,4079.77,1354.504
1140,521143,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0.357,7.25,20.321
1141,392410,Duis ac nibh.,2.000,2613.82,1306.912
1142,847410,Nulla nisl.,2.569,3552.97,1383.018
1143,730619,Praesent blandit lacinia erat.,0.440,379.92,863.462
1144,382473,Integer non velit.,2.609,3670.28,1406.775
1145,590610,In hac habitasse platea dictumst.,0.476,614.89,1291.783
1146,110900,Nulla nisl.,2.070,235.01,113.532
1147,441233,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1.285,889.10,691.906
1148,090922,In hac habitasse platea dictumst.,1.983,1664.31,839.288
1149,821290,In congue.,4.513,2032.53,450.372
1150,280800,Suspendisse ornare consequat lectus.,1.774,444.50,250.566
1151,020230,Quisque id justo sit amet sapien dignissim vestibulum.,0.293,452.80,1545.384
1152,620899,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0.173,20.31,117.376
1153,550610,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",3.427,1942.25,566.749
1154,290513,Quisque ut erat.,1.333,143.31,107.511
1155,400280,Nam nulla.,6.083,468.73,77.056
1156,900290,Maecenas rhoncus aliquam lacus.,1.571,1620.06,1031.230
1157,293090,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1.021,945.94,926.480
1158,290551,Curabitur convallis.,0.666,231.79,348.031
1159,590900,Mauris ullamcorper purus sit amet nulla.,2.892,303.45,104.926
1160,091030,Proin interdum mauris non ligula pellentesque ultrices.,2.354,2145.68,911.503
1161,080132,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1.374,1485.76,1081.342
1162,821110,Nulla nisl.,0.507,148.05,292.007
1163,850240,Morbi quis tortor id nulla ultrices aliquet.,0.766,695.27,907.668
1164,370252,Integer ac leo.,2.126,2538.82,1194.175
1165,853931,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2.282,1103.87,483.730
1166,842810,Fusce consequat.,0.778,259.33,333.335
1167,901710,Nulla mollis molestie lorem.,5.439,4444.01,817.063
1168,851810,Vestibulum sed magna at nunc commodo placerat.,1.536,1325.18,862.746
1169,030462,Aliquam quis turpis eget elit sodales scelerisque.,0.157,144.80,922.267
1170,283525,Vivamus vestibulum sagittis sapien.,1.206,106.17,88.035
1171,691200,Phasellus in felis.,2.982,1751.89,587.487
1172,821300,Proin interdum mauris non ligula pellentesque ultrices.,1.027,892.96,869.482
1173,853710,Curabitur convallis.,0.621,97.64,157.228
1174,870323,Aliquam non mauris.,1.238,335.61,271.090
1175,482340,Vestibulum ac est lacinia nisi venenatis tristique.,1.738,2262.09,1301.545
1176,681291,In hac habitasse platea dictumst.,2.469,2990.63,1211.273
1177,900791,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0.951,80.20,84.337
1178,350219,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0.942,624.00,662.420
1179,071339,Cras in purus eu magna vulputate luctus.,3.122,3142.55,1006.583
1180,401694,Nunc rhoncus dui vel sem.,0.225,18.35,81.543
1181,530390,Nullam molestie nibh in lectus.,1.584,2054.92,1297.300
1182,610832,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1.983,2299.61,1159.661
1183,901780,Fusce posuere felis sed lacus.,3.515,4432.65,1261.068
1184,511211,Vivamus in felis eu sapien cursus vestibulum.,1.058,1160.41,1096.797
1185,292423,In hac habitasse platea dictumst.,3.155,3526.99,1117.904
1186,390230,Donec vitae nisi.,1.217,1265.07,1039.497
1187,120770,Donec ut dolor.,1.866,57.43,30.776
1188,510620,Nulla ut erat id mauris vulputate elementum.,3.115,2967.14,952.533
1189,292424,Nulla mollis molestie lorem.,3.229,944.59,292.533
1190,310420,Praesent blandit.,0.743,160.54,216.071
1191,030256,Pellentesque viverra pede ac diam.,2.849,3245.52,1139.180
1192,870195,Etiam faucibus cursus urna.,1.252,657.06,524.806
1193,284310,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.347,155.02,115.082
1194,440810,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1.634,1990.24,1218.016
1195,450110,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",4.513,5771.27,1278.809
1196,700420,Suspendisse ornare consequat lectus.,2.038,1732.59,850.141
1197,450110,Aliquam quis turpis eget elit sodales scelerisque.,1.626,1171.49,720.474
1198,150430,Suspendisse accumsan tortor quis turpis.,0.667,367.82,551.457
1199,230500,Curabitur at ipsum ac tellus semper interdum.,2.326,904.01,388.653
1200,710231,In hac habitasse platea dictumst.,1.645,1993.42,1211.806
1201,871120,Donec ut dolor.,6.365,7146.30,1122.750
1202,870230,Pellentesque viverra pede ac diam.,1.171,1727.08,1474.878
1203,030325,Proin at turpis a pede posuere nonummy.,2.083,610.97,293.312
1204,611300,Duis at velit eu est congue elementum.,5.007,355.12,70.924
1205,510620,Suspendisse potenti.,3.720,4743.20,1275.054
1206,190531,Curabitur in libero ut massa volutpat convallis.,2.563,271.72,106.016
1207,841610,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1.919,2141.29,1115.835
1208,841111,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.959,1577.20,805.104
1209,842381,Praesent blandit lacinia erat.,1.948,1918.65,984.931
1210,870490,Donec semper sapien a libero.,2.179,1260.07,578.279
1211,847210,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1.471,1081.20,735.010
1212,901420,Quisque id justo sit amet sapien dignissim vestibulum.,1.158,147.24,127.153
1213,520300,Suspendisse ornare consequat lectus.,2.248,264.58,117.697
1214,841480,Etiam faucibus cursus urna.,1.956,1934.55,989.033
1215,860500,Proin risus.,0.720,786.28,1092.061
1216,150410,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",0.942,401.34,426.056
1217,540823,Vestibulum ac est lacinia nisi venenatis tristique.,7.742,6506.44,840.408
1218,730722,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1.286,668.42,519.770
1219,400510,Morbi porttitor lorem id ligula.,2.321,2998.83,1292.044
1220,847950,Duis at velit eu est congue elementum.,0.380,17.39,45.759
1221,160420,Fusce posuere felis sed lacus.,0.859,1018.79,1186.014
1222,030252,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.285,123.55,96.150
1223,870230,Integer ac neque.,1.046,661.68,632.584
1224,610413,Suspendisse potenti.,2.148,44.52,20.728
1225,340530,Nam tristique tortor eu pede.,2.389,2886.19,1208.115
1226,430130,Quisque ut erat.,0.760,596.72,785.162
1227,060312,Morbi ut odio.,0.711,878.69,1235.854
1228,521213,Quisque porta volutpat erat.,2.534,1747.83,689.751
1229,490700,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",4.180,2647.62,633.401
1230,731431,Cras pellentesque volutpat dui.,1.282,544.29,424.564
1231,100829,Morbi vel lectus in quam fringilla rhoncus.,5.056,2525.28,499.463
1232,080122,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3.760,2514.87,668.848
1233,560313,Duis ac nibh.,1.758,2159.62,1228.451
1234,290514,In congue.,1.588,1717.07,1081.276
1235,382491,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",4.922,4607.89,936.183
1236,845690,Integer ac neque.,1.669,1747.01,1046.738
1237,550962,Suspendisse ornare consequat lectus.,2.274,1930.14,848.786
1238,294200,Duis mattis egestas metus.,1.493,1719.94,1152.006
1239,401699,Morbi porttitor lorem id ligula.,1.086,460.41,423.948
1240,560750,In congue.,2.233,1047.23,468.981
1241,820900,Duis at velit eu est congue elementum.,1.770,2295.31,1296.784
1242,720927,Nam nulla.,0.643,205.34,319.341
1243,830820,Nulla mollis molestie lorem.,1.343,1140.26,849.037
1244,551692,Nullam molestie nibh in lectus.,2.944,3649.26,1239.557
1245,120921,Integer ac neque.,3.836,1818.57,474.079
1246,960891,Nulla facilisi.,0.966,1073.09,1110.861
1247,845420,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2.423,681.98,281.461
1248,890392,Duis bibendum.,4.771,512.76,107.475
1249,550941,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1.941,1046.80,539.312
1250,902710,Duis at velit eu est congue elementum.,1.202,1127.85,938.314
1251,680221,Morbi a ipsum.,0.556,614.28,1104.827
1252,081090,Morbi vel lectus in quam fringilla rhoncus.,1.601,1637.29,1022.668
1253,851830,Vestibulum rutrum rutrum neque.,0.578,376.54,651.457
1254,293951,Cras in purus eu magna vulputate luctus.,2.576,2848.82,1105.908
1255,010410,Suspendisse potenti.,3.682,2489.77,676.200
1256,520546,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3.247,793.50,244.378
1257,903300,Proin interdum mauris non ligula pellentesque ultrices.,2.050,1932.32,942.596
1258,853190,Duis consequat dui nec nisi volutpat eleifend.,5.945,4775.24,803.237
1259,282612,In hac habitasse platea dictumst.,3.676,4724.02,1285.097
1260,080290,Morbi ut odio.,1.193,1360.90,1140.737
1261,291590,Duis consequat dui nec nisi volutpat eleifend.,2.264,2800.50,1236.970
1262,722240,Fusce posuere felis sed lacus.,1.342,1590.04,1184.829
1263,620721,Integer a nibh.,5.810,7830.79,1347.813
1264,070190,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.749,1524.05,871.386
1265,160510,In hac habitasse platea dictumst.,3.055,3350.79,1096.822
1266,761510,Quisque ut erat.,3.737,4217.42,1128.558
1267,530710,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0.959,1102.18,1149.301
1268,630590,In sagittis dui vel nisl.,3.745,3295.37,879.939
1269,701890,Vestibulum ac est lacinia nisi venenatis tristique.,3.250,1892.99,582.457
1270,851769,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0.579,831.59,1436.249
1271,520852,In hac habitasse platea dictumst.,3.757,3317.51,883.022
1272,681490,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.638,859.35,1346.943
1273,283319,Nullam porttitor lacus at turpis.,2.166,1502.43,693.642
1274,480540,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1.828,98.09,53.660
1275,030311,Duis ac nibh.,2.988,1480.64,495.529
1276,030721,Mauris lacinia sapien quis libero.,1.976,2048.81,1036.847
1277,860610,Maecenas rhoncus aliquam lacus.,2.248,572.44,254.643
1278,271121,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0.828,1052.58,1271.227
1279,560121,Nullam sit amet turpis elementum ligula vehicula consequat.,1.558,1675.29,1075.280
1280,540751,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.539,158.47,102.970
1281,051199,Duis consequat dui nec nisi volutpat eleifend.,1.097,996.11,908.031
1282,621390,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.621,1220.86,753.152
1283,620461,Nullam molestie nibh in lectus.,1.781,2099.79,1178.993
1284,140120,Pellentesque ultrices mattis odio.,2.794,962.45,344.469
1285,401691,Aliquam non mauris.,0.549,228.32,415.886
1286,540710,Maecenas tincidunt lacus at velit.,1.295,1561.90,1206.097
1287,870540,In hac habitasse platea dictumst.,2.781,2482.62,892.709
1288,848490,Nunc nisl.,1.069,1215.89,1137.407
1289,853669,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.564,3098.91,869.504
1290,550941,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1.155,908.11,786.240
1291,843410,Donec ut dolor.,1.485,1378.57,928.328
1292,282990,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1.004,850.31,846.919
1293,292216,Nullam varius.,1.534,1558.55,1016.007
1294,900120,Nam nulla.,0.780,680.58,872.534
1295,701010,Proin eu mi.,3.009,1313.62,436.565
1296,852692,Nulla ac enim.,1.180,1366.38,1157.951
1297,390521,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3.329,3088.87,927.867
1298,853720,Mauris lacinia sapien quis libero.,0.336,264.89,788.377
1299,902300,In quis justo.,1.385,445.17,321.425
1300,284210,Vivamus tortor.,4.445,4493.81,1010.981
1301,030381,Cras non velit nec nisi vulputate nonummy.,1.058,908.35,858.550
1302,090620,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.440,228.11,158.408
1303,030354,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",4.108,5131.02,1249.031
1304,700529,Curabitur at ipsum ac tellus semper interdum.,1.334,516.56,387.227
1305,900590,Aliquam quis turpis eget elit sodales scelerisque.,0.802,386.61,482.060
1306,080231,Fusce consequat.,3.229,2868.59,888.382
1307,030787,Nulla ut erat id mauris vulputate elementum.,7.208,3585.84,497.480
1308,610461,Cras in purus eu magna vulputate luctus.,1.630,1645.47,1009.489
1309,721622,Integer a nibh.,0.727,910.37,1252.223
1310,950490,Suspendisse ornare consequat lectus.,1.753,552.28,315.048
1311,940161,Vivamus in felis eu sapien cursus vestibulum.,3.527,1897.54,538.005
1312,281810,Pellentesque at nulla.,0.472,470.44,996.691
1313,721922,Morbi vel lectus in quam fringilla rhoncus.,1.366,95.61,69.990
1314,741521,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0.704,383.28,544.433
1315,810600,Nulla ac enim.,1.514,968.84,639.924
1316,841012,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2.699,2105.62,780.149
1317,841122,Cras non velit nec nisi vulputate nonummy.,1.901,510.48,268.532
1318,960610,Nunc nisl.,2.721,1767.61,649.617
1319,390950,Suspendisse potenti.,1.713,897.13,523.717
1320,401039,Cras in purus eu magna vulputate luctus.,0.837,466.94,557.868
1321,293355,Vestibulum sed magna at nunc commodo placerat.,4.959,2376.94,479.318
1322,220900,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1.639,1935.75,1181.058
1323,292630,Pellentesque eget nunc.,0.951,1212.35,1274.813
1324,901920,Pellentesque ultrices mattis odio.,2.751,54.95,19.975
1325,940320,Sed accumsan felis.,2.635,2563.54,972.881
1326,261690,Ut tellus.,1.444,257.44,178.280
1327,844120,Curabitur convallis.,3.205,656.95,204.976
1328,854620,Nunc rhoncus dui vel sem.,3.484,438.92,125.981
1329,722519,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0.396,119.72,302.323
1330,390190,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.660,125.94,190.814
1331,620690,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,2.084,1862.68,893.801
1332,081190,Nulla nisl.,1.225,1138.49,929.376
1333,851390,Donec posuere metus vitae ipsum.,0.326,308.43,946.114
1334,690740,Vestibulum sed magna at nunc commodo placerat.,0.745,877.74,1178.175
1335,621133,Mauris sit amet eros.,1.906,2993.81,1570.731
1336,442110,Morbi quis tortor id nulla ultrices aliquet.,1.100,1109.60,1008.726
1337,841350,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2.056,1939.16,943.171
1338,680530,Aenean lectus.,2.145,2428.54,1132.185
1339,940159,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3.649,3950.52,1082.631
1340,940510,Quisque ut erat.,1.173,94.61,80.657
1341,848130,Morbi non lectus.,4.636,2517.99,543.138
1342,630710,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2.544,2617.94,1029.063
1343,290339,Vestibulum ac est lacinia nisi venenatis tristique.,1.806,726.04,402.017
1344,854470,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1.937,2086.53,1077.197
1345,621390,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.422,1381.12,971.252
1346,854411,Nulla ac enim.,0.146,170.94,1170.819
1347,440393,Etiam pretium iaculis justo.,2.512,8.21,3.269
1348,391110,Quisque porta volutpat erat.,3.532,3999.82,1132.452
1349,360490,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0.862,99.35,115.254
1350,350510,In hac habitasse platea dictumst.,2.335,1720.22,736.709
1351,845110,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1.159,173.20,149.443
1352,600410,Nulla tempus.,0.509,606.48,1191.503
1353,854420,Morbi vel lectus in quam fringilla rhoncus.,1.801,713.59,396.221
1354,847979,Nulla tempus.,2.122,371.60,175.120
1355,401019,Proin interdum mauris non ligula pellentesque ultrices.,2.549,422.94,165.924
1356,720925,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1.269,1177.32,927.754
1357,620193,Sed accumsan felis.,1.571,2110.64,1343.504
1358,381519,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2.592,3280.43,1265.599
1359,721210,Pellentesque at nulla.,1.943,2505.80,1289.653
1360,291816,Nullam porttitor lacus at turpis.,0.823,149.78,181.996
1361,391390,Suspendisse potenti.,0.924,560.13,606.201
1362,853932,Aenean lectus.,0.222,49.74,224.057
1363,580631,Nunc purus.,2.395,1282.12,535.330
1364,843020,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1.204,287.19,238.530
1365,902480,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1.371,1730.29,1262.065
1366,852871,Aliquam sit amet diam in magna bibendum imperdiet.,0.659,494.87,750.947
1367,080529,In hac habitasse platea dictumst.,3.760,2779.22,739.154
1368,600622,Duis at velit eu est congue elementum.,0.926,565.79,611.006
1369,731439,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.570,35.47,22.591
1370,490210,Integer non velit.,1.348,1443.95,1071.179
1371,220600,Suspendisse potenti.,1.284,1400.26,1090.549
1372,030291,Integer tincidunt ante vel ipsum.,1.302,198.88,152.748
1373,842833,Cras pellentesque volutpat dui.,0.477,473.58,992.840
1374,640620,Vestibulum sed magna at nunc commodo placerat.,1.406,1002.64,713.113
1375,321590,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",4.857,5144.74,1059.242
1376,440111,Proin risus.,0.759,709.82,935.199
1377,854290,Morbi a ipsum.,1.649,1723.54,1045.202
1378,400239,Cras pellentesque volutpat dui.,2.547,2304.23,904.683
1379,950631,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.006,135.38,134.569
1380,741820,Nulla facilisi.,3.526,3470.56,984.277
1381,630790,Donec quis orci eget orci vehicula condimentum.,2.084,2805.42,1346.170
1382,854121,Integer ac leo.,1.195,1592.84,1332.924
1383,220870,Vivamus tortor.,4.853,4619.61,951.909
1384,300441,Sed ante.,2.681,1633.36,609.236
1385,901210,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1.366,1014.28,742.520
1386,845620,Aenean fermentum.,0.935,897.27,959.644
1387,851240,Quisque ut erat.,2.546,2296.07,901.833
1388,920790,Vivamus vel nulla eget eros elementum pellentesque.,3.302,3580.59,1084.371
1389,250610,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.697,391.67,561.930
1390,940382,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1.679,1181.84,703.896
1391,290433,Suspendisse potenti.,1.620,1852.35,1143.426
1392,870380,Etiam faucibus cursus urna.,5.356,5641.67,1053.337
1393,010513,Praesent blandit.,2.957,3360.99,1136.622
1394,510529,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1.308,1205.90,921.939
1395,846721,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.568,311.06,547.642
1396,151221,Phasellus id sapien in sapien iaculis congue.,3.300,2214.00,670.908
1397,270710,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0.765,298.82,390.615
1398,230641,Duis bibendum.,0.398,234.01,587.976
