IMO number,Vessel Name,Ship type,Flag,Gross Tonnage,Summer Deadweight (t),Length Overall (m),Beam (m),Draught (m),Year of Built,TEU,Crude,Grain,Bale,AIS Type,Destination,ETA,IMO / MMSI,Callsign,Length / Beam,Current draught,Course / Speed,Coordinates,MMSI,Course,Speed,latitude,longitude,Length,Beam
9743875,PACIFIC MIMOSA,LNG Tanker,Japan,136716,86497,288,49,None,2018,,,,,Tanker,AU ONS,"May 11, 00:01",9743875 / 431778000,7JYN,288 / 49 m,9.6 m,171.4° / 11.9 kn,9.51543 N/126.32839 E,431778000,171.4°,11.9 kn,9.51543,126.32839,288,49 m
9645748,LNG MARS,LNG Tanker,Japan,136710,86161,288,49,None,2016,,None,,,Tanker,AU_ICHTHYS,"Jun 2, 20:30",9645748 / 431177000,7JRT,288 / 49 m,9.8 m,207.2° / 14.0 kn,7.64254 N/120.65022 E,431177000,207.2°,14.0 kn,7.64254,120.65022,288,49 m
8757740,THIALF,Crane Ship,Panama,136709,129221,202,88,None,1985,,,,,Unknown (HAZ-A),SABLE ISLAND THEBAUD,"May 1, 04:00",8757740 / 353979000,3EAA4,202 / 96 m,17.0 m,105.0° / 5.2 kn,44.37825 N/63.13659 W,353979000,105.0°,5.2 kn,44.37825,-63.13659,202,96 m
9338266,AL AAMRIYA,LNG Tanker,Marshall Islands,136685,121935,315,50,None,2008,,None,,,Tanker,PORT SUEZ,"May 3, 20:00",9338266 / 538003099,V7OJ3,316 / 50 m,12.1 m,321.0° / 15.5 kn,25.43096 N/35.81842 E,538003099,321.0°,15.5 kn,25.43096,35.81842,316,50 m
9360790,AL ORAIQ,LNG Tanker,Marshall Islands,136685,122079,315,50,None,2008,,None,,,Tanker (HAZ-C),PORT SAID,"Apr 3, 12:00",9360790 / 538003072,V7OE5,315 / 50 m,9.5 m,147.0° / 13.8 kn,35.32548 N/27.80382 E,538003072,147.0°,13.8 kn,35.32548,27.80382,315,50 m
9360829,UMM AL AMAD,LNG Tanker,Marshall Islands,136685,121730,315,50,None,2008,,None,,,Tanker,GB_MLF,"May 4, 23:00",9360829 / 538003073,V7OE6,315 / 50 m,12.2 m,354.0° / 15.0 kn,38.71293 N/9.93503 W,538003073,354.0°,15.0 kn,38.71293,-9.93503,315,50 m
9360805,MURWAB,LNG Tanker,Marshall Islands,136685,121843,315,50,None,2008,,None,,,Tanker (HAZ-C),QARLF,"May 8, 03:00",9360805 / 538003100,V7OJ4,315 / 50 m,9.5 m,154.0° / 16.8 kn,17.52503 N/39.92615 E,538003100,154.0°,16.8 kn,17.52503,39.92615,315,50 m
9360817,FRAIHA,LNG Tanker,Marshall Islands,136685,121914,306,50,None,2008,,None,,,Tanker (HAZ-A),FUTTSU,"May 16, 23:00",9360817 / 538003101,V7OJ5,315 / 50 m,12.5 m,139.0° / 18.5 kn,19.51227 N/65.56165 E,538003101,139.0°,18.5 kn,19.51227,65.56165,315,50 m
9337717,AL GHARRAFA,LNG Tanker,Marshall Islands,136410,107000,315,50,None,2008,,None,,,Tanker,EGYPT,"May 6, 17:17",9337717 / 538002920,V7MX7,315 / 50 m,12.2 m,255.0° / 19.0 kn,12.79402 N/47.75176 E,538002920,255.0°,19.0 kn,12.79402,47.75176,315,50 m
9337731,TEMBEK,LNG Tanker,Marshall Islands,136410,106896,315,50,None,2007,,None,,,Tanker,EG SUZ,"May 7, 18:00",9337731 / 538002921,V7MX8,315 / 50 m,12.1 m,250.0° / 15.9 kn,14.35288 N/52.72254 E,538002921,250.0°,15.9 kn,14.35288,52.72254,315,50 m
9337705,AL GATTARA,LNG Tanker,Marshall Islands,136410,106898,315,50,None,2007,,None,,,Tanker,ARMED GUARDS L,"May 7, 18:18",9337705 / 538002917,V7MX3,315 / 50 m,12.3 m,235.0° / 17.0 kn,14.95894 N/53.81493 E,538002917,235.0°,17.0 kn,14.95894,53.81493,315,50 m
9337743,AL HAMLA,LNG Tanker,Marshall Islands,136410,106983,315,50,None,2008,,None,,,Tanker (HAZ-D),DK SKA,"May 3, 04:04",9337743 / 538002922,V7MX9,315 / 50 m,12.1 m,30.1° / 15.4 kn,56.40615 N/6.786 E,538002922,30.1°,15.4 kn,56.40615,6.786,315,50 m
9360867,AL UTOURIYA,LNG Tanker,Marshall Islands,136355,104561,315,50,None,2008,,None,,,Tanker,RAS LAFFAN,"May 8, 18:18",9360867 / 538003020,V7NU5,315 / 49 m,9.4 m,154.0° / 19.3 kn,23.35226 N/36.9439 E,538003020,154.0°,19.3 kn,23.35226,36.9439,315,49 m
9360843,AL THUMAMA,LNG Tanker,Marshall Islands,136355,104701,315,50,None,2008,,None,,,Tanker,EG SUZ>QA RLF,"May 2, 16:16",9360843 / 538003018,V7NU3,314 / 49 m,9.5 m,1.4° / 0.0 kn,25.89055 N/51.75522 E,538003018,1.4°,0.0 kn,25.89055,51.75522,314,49 m
9360855,AL SAHLA,LNG Tanker,Marshall Islands,136355,104666,315,50,None,2008,,None,,,Tanker (HAZ-D),QA RLF>KW MEA,"May 1, 21:21",9360855 / 538003019,V7NU4,315 / 50 m,11.4 m,186.2° / 0.0 kn,29.07289 N/48.16093 E,538003019,186.2°,0.0 kn,29.07289,48.16093,315,50 m
9397327,AL KHARAITIYAT,LNG Tanker,Marshall Islands,136168,107153,315,50,None,2009,,None,,,Tanker,BE ZEE,"May 6, 05:35",9397327 / 538003352,V7QF8,315 / 50 m,12.4 m,281.5° / 15.9 kn,36.54276 N/8.41686 W,538003352,281.5°,15.9 kn,36.54276,-8.41686,315,50 m
9397339,AL REKAYYAT,LNG Tanker,Marshall Islands,136168,107165,315,50,None,2009,,None,,,Tanker,"ZHOUSHAN, CHINA","May 6, 00:00",9397339 / 538003347,V7QF3,315 / 50 m,11.4 m,284.0° / 1.0 kn,18.30094 N/118.09807 E,538003347,284.0°,1.0 kn,18.30094,118.09807,315,50 m
9774135,LNG SAKURA,LNG Tanker,Bahamas,135977,82137,300,49,None,2018,,,,,Tanker,JP SAK,"May 3, 11:00",9774135 / 311000760,C6DR7,300 / 49 m,11.6 m,332.5° / 11.5 kn,33.33325 N/135.13004 E,311000760,332.5°,11.5 kn,33.33325,135.13004,300,49 m
9791212,SOHSHU MARU,LNG Tanker,Bahamas,135951,82254,300,49,None,2019,,,,,Tanker,US FPO,"May 2, 02:00",9791212 / 311000580,C6CU9,299 / 48 m,10.0 m,273.3° / 0.0 kn,28.85903 N/95.16257 W,311000580,273.3°,0.0 kn,28.85903,-95.16257,299,48 m
9791200,SHINSHU MARU,LNG Tanker,Bahamas,135951,82287,300,49,None,2019,,,,,Tanker,FOR ORDERS,"Jun 1, 05:00",9791200 / 311000845,C6EB3,299 / 48 m,11.9 m,120.5° / 14.7 kn,12.85702 N/59.86924 W,311000845,120.5°,14.7 kn,12.85702,-59.86924,299,48 m
9360879,AL HUWAILA,LNG Tanker,Bahamas,135848,109503,315,50,None,2008,,,,,Tanker (HAZ-A),QA RLF,"May 11, 22:00",9360879 / 309255000,C6VG2,315 / 50 m,9.5 m,304.0° / 18.4 kn,1.4449 N/103.13057 E,309255000,304.0°,18.4 kn,1.4449,103.13057,315,50 m
9360908,AL KHUWAIR,LNG Tanker,Bahamas,135848,109555,315,50,None,2008,,,,,Tanker (HAZ-B),QA RLF,"May 8, 12:00",9360908 / 311000140,C6VM6,315 / 50 m,9.5 m,153.5° / 19.1 kn,22.49519 N/37.32126 E,311000140,153.5°,19.1 kn,22.49519,37.32126,315,50 m
9360881,AL KHARSAAH,LNG Tanker,Bahamas,135848,109484,315,50,None,2008,,None,,,Tanker (HAZ-D),QA RLF,"May 1, 05:00",9360881 / 309333000,C6VG3,315 / 50 m,9.4 m,184.2° / 0.0 kn,25.93347 N/51.61737 E,309333000,184.2°,0.0 kn,25.93347,51.61737,315,50 m
9360893,AL SHAMAL,LNG Tanker,Bahamas,135848,109662,315,50,None,2008,,,,,Tanker (HAZ-D),ARMED GUARDS ONBOARD,"May 5, 20:00",9360893 / 309781000,C6VG4,315 / 50 m,12.1 m,325.0° / 14.9 kn,15.09222 N/41.78994 E,309781000,325.0°,14.9 kn,15.09222,41.78994,315,50 m
9801689,COSTA VENEZIA,Passenger (Cruise) Ship,Italy,135500,12000,323,37,,2018,,,,,Passenger ship,MANILA,"Apr 29, 23:30",9801689 / 247391100,IBAD,324 / 44 m,8.5 m,321.5° / 0.1 kn,14.5323 N/120.84107 E,247391100,321.5°,0.1 kn,14.5323,120.84107,324,44 m
9802384,CARNIVAL PANORAMA,Passenger (Cruise) Ship,Panama,135500,12000,324,37,,2018,,,,,Passenger ship,JAKARTA,"May 12, 00:00",9802384 / 374527000,3FJB3,324 / 44 m,8.7 m,242.8° / 15.9 kn,33.0427 N/119.55967 W,374527000,242.8°,15.9 kn,33.0427,-119.55967,324,44 m
9741762,STELLA ISABEL,Bulk Carrier,Singapore,135472,250379,325,57,None,2015,,,,,Cargo ship,TAO CHINA,"Jun 2, 04:00",9741762 / 563300000,9V3391,325 / 57 m,18.0 m,82.0° / 9.2 kn,33.7847 S/32.06513 E,563300000,82.0°,9.2 kn,-33.7847,32.06513,325,57 m
9695030,SHANDONG HE XIE,Bulk Carrier,Hong Kong,135462,262062,325,57,None,2014,,,None,,Cargo ship,QINGDAO CN,"May 11, 02:00",9695030 / 477712100,VRNT3,325 / 57 m,18.6 m,2.0° / 9.4 kn,4.27109 N/119.63193 E,477712100,2.0°,9.4 kn,4.27109,119.63193,325,57 m
9747778,FMG NICOLA,Bulk Carrier,Hong Kong,134840,260840,327,57,None,2016,,,,,Cargo ship,AU PHE,"May 4, 04:00",9747778 / 477692300,VRQH3,327 / 57 m,12.0 m,216.0° / 11.4 kn,10.58888 S/122.51535 E,477692300,216.0°,11.4 kn,-10.58888,122.51535,327,57 m
9747780,FMG GRACE,Bulk Carrier,Hong Kong,134840,260840,327,57,None,2017,,,,,Cargo ship,"JINGTANG,CHINA","May 3, 13:00",9747780 / 477527200,VRQM7,327 / 57 m,18.9 m,348.0° / 12.9 kn,35.97529 N/124.07342 E,477527200,348.0°,12.9 kn,35.97529,124.07342,327,57 m
9709518,BERGE MAKALU,Bulk Carrier,United Kingdom,134693,262205,327,57,None,2016,,,,,Cargo ship,CN QDG,"May 12, 14:00",9709518 / 235111764,2IPS5,327 / 57 m,18.9 m,13.0° / 10.1 kn,3.23929 S/118.52884 E,235111764,13.0°,10.1 kn,-3.23929,118.52884,327,57 m
9621493,GLEN LYON,Offshore Support Vessel,United Kingdom,134162,125953,270,52,None,2015,,,,,Other type,SCHIEHALLION OILFIEL,"Jun 4, 06:00",9621493 / 235101762,2GZH8,287 / 52 m,12.0 m,- / -,60.35581 N/4.06485 W,235101762,-,-,60.35581,-4.06485,287,52 m
9756389,SERI CEMARA,LNG Tanker,Malaysia,133948,84291,290,49,None,2018,,,,,Tanker,PFLNG SATU,"May 5, 00:00",9756389 / 533130753,9MYD8,290 / 49 m,9.8 m,96.2° / 0.0 kn,6.10306 N/116.04791 E,533130753,96.2°,0.0 kn,6.10306,116.04791,290,49 m
9714305,SERI CAMAR,LNG Tanker,Malaysia,133948,84295,290,49,None,2018,,,,,Tanker,DAPENG CHINA,"Jun 30, 02:00",9714305 / 533130687,9MWT8,290 / 49 m,11.4 m,17.0° / 0.0 kn,3.32713 N/112.88652 E,533130687,17.0°,0.0 kn,3.32713,112.88652,290,49 m
9714290,SERI CEMPAKA,LNG Tanker,Malaysia,133948,84311,290,49,None,2017,,,,,Tanker (HAZ-A),TW YAN,"May 7, 00:00",9714290 / 533130607,9MWM8,290 / 49 m,11.5 m,225.0° / 12.7 kn,32.96863 N/127.986 E,533130607,225.0°,12.7 kn,32.96863,127.986,290,49 m
9613783,K. HOPE,Bulk Carrier,Panama,133647,250042,330,57,None,2012,,,None,,Cargo ship,KR TJI,"May 12, 19:00",9613783 / 373682000,3FHK9,330 / 57 m,18.1 m,26.0° / 12.3 kn,10.57406 S/122.35493 E,373682000,26.0°,12.3 kn,-10.57406,122.35493,330,57 m
9714276,SERI CAMELLIA,LNG Tanker,Malaysia,133612,84333,290,46,None,2016,,,,,Tanker,AU GLT,"May 11, 16:00",9714276 / 533130463,9MVR8,290 / 49 m,10.0 m,111.6° / 10.3 kn,6.39837 S/118.81716 E,533130463,111.6°,10.3 kn,-6.39837,118.81716,290,49 m
9767091,CARNIVAL HORIZON,Passenger (Cruise) Ship,Panama,133596,12164,324,37,,2018,,,,,Passenger ship,"LSC,BAHAMAS","Apr 30, 12:00",9767091 / 370039000,H3WI,324 / 44 m,8.5 m,303.0° / 0.1 kn,25.79112 N/78.43233 W,370039000,303.0°,0.1 kn,25.79112,-78.43233,324,44 m
9692569,CARNIVAL VISTA,Passenger (Cruise) Ship,Panama,133596,13415,323,37,,2016,,,,,Passenger ship,"LITTLE STIRRUP CAY,","Apr 28, 12:00",9692569 / 356883000,3EMB9,324 / 38 m,8.6 m,273.0° / 6.8 kn,25.77392 N/78.4491 W,356883000,273.0°,6.8 kn,25.77392,-78.4491,324,38 m
9319636,MARINECO ASHANTI,Tug,United Kingdom,133560,110,26,8,None,2005,,,,,Tug,,,9319636 / 235064786,2BBX7,26 / 8 m,3.7 m,30.0° / 0.0 kn,25.46977 N/55.50867 E,235064786,30.0°,0.0 kn,25.46977,55.50867,26,8 m
9702651,SHANDONG REN HE,Bulk Carrier,Hong Kong,133524,262158,325,57,None,2015,,,None,,Cargo ship,PHE AU,"Apr 28, 04:00",9702651 / 477855100,VROJ3,325 / 57 m,10.4 m,238.4° / 0.1 kn,20.0652 S/118.62719 E,477855100,238.4°,0.1 kn,-20.0652,118.62719,325,57 m
9636888,COSTA DIADEMA,Passenger (Cruise) Ship,Italy,133019,11118,306,37,None,2014,,,,,Passenger ship,,,9636888 / 247353700,IBCX,304 / 50 m,8.5 m,18.3° / 0.0 kn,42.93205 N/10.55562 E,247353700,18.3°,0.0 kn,42.93205,10.55562,304,50 m
9621352,HBIS,Bulk Carrier,Liberia,132588,250868,330,57,None,2014,,,None,,Cargo ship,TAO.CHINA,"May 13, 02:00",9621352 / 636016676,D5HG2,330 / 57 m,18.0 m,346.0° / 12.3 kn,16.19671 S/117.5286 E,636016676,346.0°,12.3 kn,-16.19671,117.5286,330,57 m
9621247,PARABURDOO,Bulk Carrier,Panama,132587,251053,330,57,None,2013,,,None,,Cargo ship,CN TAO,"May 13, 04:00",9621247 / 355205000,3FMF3,330 / 57 m,17.5 m,349.0° / 12.2 kn,18.80602 S/117.19655 E,355205000,349.0°,12.2 kn,-18.80602,117.19655,330,57 m
9621364,IRON PILBARA,Bulk Carrier,Liberia,132587,250895,330,57,None,2014,,,None,,Cargo ship,"AU,PHE","Apr 30, 12:00",9621364 / 636016343,D5FR4,330 / 57 m,10.0 m,3.1° / 0.0 kn,19.90038 S/118.56548 E,636016343,3.1°,0.0 kn,-19.90038,118.56548,330,57 m
9487639,INDIGO HOPE,Bulk Carrier,Japan,132508,251019,330,57,None,2013,,,None,,Cargo ship,CN TAO,"May 13, 18:00",9487639 / 431276000,7JVR,330 / 57 m,17.9 m,346.0° / 11.6 kn,16.50525 S/117.59958 E,431276000,346.0°,11.6 kn,-16.50525,117.59958,330,57 m
9401104,MSC SOLA,Container Ship,Panama,131771,138377,364,46,None,2008,None,,,,Cargo ship,BUSAN,"Apr 30, 09:00",9401104 / 370894000,3FER7,364 / 46 m,8.0 m,231.0° / 7.0 kn,30.70834 N/124.1789 E,370894000,231.0°,7.0 kn,30.70834,124.1789,364,46 m
9398383,MSC LUCIANA,Container Ship,Panama,131771,138377,364,46,None,2009,None,,,,Cargo ship (HAZ-B),,,9398383 / 355283000,3FTY3,363 / 46 m,7.0 m,299.0° / 0.0 kn,30.15535 N/122.01207 E,355283000,299.0°,0.0 kn,30.15535,122.01207,363,46 m
9401116,MSC FRANCESCA,Container Ship,Panama,131771,138377,364,46,None,2008,None,,,,Cargo ship,FUJAIRAH ANCHORAGE,"May 7, 14:00",9401116 / 370993000,3FXI,363 / 46 m,14.7 m,166.5° / 18.3 kn,21.28432 N/38.82795 E,370993000,166.5°,18.3 kn,21.28432,38.82795,363,46 m
9398371,MSC IVANA,Container Ship,Panama,131771,138377,364,46,None,2008,None,,,,Cargo ship (HAZ-A),,,9398371 / 370930000,3FRH6,363 / 46 m,7.3 m,252.0° / 0.0 kn,30.15471 N/122.02114 E,370930000,252.0°,0.0 kn,30.15471,122.02114,363,46 m
9398371,MSC IVANA,Container Ship,Panama,131771,138377,364,46,None,2008,None,,,,Cargo ship (HAZ-A),,,9398371 / 370930000,3FRH6,363 / 46 m,7.3 m,252.0° / 0.0 kn,30.15471 N/122.02114 E,370930000,252.0°,0.0 kn,30.15471,122.02114,363,46 m
9398371,MSC IVANA,Container Ship,Panama,131771,138377,364,46,None,2008,None,,,,Cargo ship (HAZ-A),,,9398371 / 370930000,3FRH6,363 / 46 m,7.3 m,252.0° / 0.0 kn,30.15471 N/122.02114 E,370930000,252.0°,0.0 kn,30.15471,122.02114,363,46 m
9399208,CMA CGM LEO,Container Ship,Malta,131332,131236,363,46,None,2010,None,,,,Cargo ship,MYPKG,"May 7, 08:00",9399208 / 249888000,9HA2057,364 / 46 m,14.5 m,121.0° / 13.2 kn,7.00017 N/78.11783 E,249888000,121.0°,13.2 kn,7.00017,78.11783,364,46 m
9399222,CMA CGM TITAN,Container Ship,Malta,131332,128550,363,46,None,2011,None,,,,Cargo ship (HAZ-A),CNNSA,"May 2, 12:00",9399222 / 248052000,9HA2146,363 / 45 m,13.9 m,318.0° / 0.1 kn,22.63432 N/113.68456 E,248052000,318.0°,0.1 kn,22.63432,113.68456,363,45 m
9410789,CMA CGM COLUMBA,Container Ship,Malta,131332,128550,363,46,None,2011,None,,,,Cargo ship (HAZ-A),FOS SUR MER,"May 4, 09:00",9410789 / 215249000,9HA5028,363 / 46 m,12.5 m,0.0° / 0.0 kn,39.43141 N/0.31779 W,215249000,0.0°,0.0 kn,39.43141,-0.31779,363,46 m
9410791,CMA CGM GEMINI,Container Ship,Malta,131332,128550,363,46,None,2011,None,,,,Cargo ship (HAZ-A),SUEZ,"May 8, 21:00",9410791 / 215134000,9HA4974,364 / 46 m,15.6 m,283.0° / 15.5 kn,6.29295 N/78.03007 E,215134000,283.0°,15.5 kn,6.29295,78.03007,364,46 m
9410765,CMA CGM CASSIOPEIA,Container Ship,Malta,131332,128550,363,46,None,2011,None,,,,Cargo ship (HAZ-A),AEJEA,"May 3, 01:00",9410765 / 215196000,9HA5007,363 / 45 m,15.3 m,256.0° / 16.6 kn,26.59778 N/56.40027 E,215196000,256.0°,16.6 kn,26.59778,56.40027,363,45 m
9410741,CMA CGM AQUILA,Container Ship,Malta,131332,128550,363,46,None,2009,None,,,,Cargo ship (HAZ-A),LAEM CHABANG,"May 4, 00:01",9410741 / 215217000,9HA5018,363 / 46 m,11.6 m,1.0° / 14.7 kn,6.5255 N/103.6065 E,215217000,1.0°,14.7 kn,6.5255,103.6065,363,46 m
9399193,CMA CGM LIBRA,Container Ship,Malta,131332,131235,363,46,None,2009,None,,,,Cargo ship (HAZ-A),HONG KONG,"May 17, 17:00",9399193 / 249819000,9HA2021,364 / 46 m,11.9 m,304.0° / 11.6 kn,38.846 N/124.8595 W,249819000,304.0°,11.6 kn,38.846,-124.8595,364,46 m
9410753,CMA CGM CALLISTO,Container Ship,Malta,131332,128550,363,46,None,2010,None,,,,Cargo ship,AEJEA,"May 6, 17:00",9410753 / 215192000,9HA5006,363 / 46 m,15.2 m,318.0° / 13.6 kn,10.90867 N/74.08217 E,215192000,318.0°,13.6 kn,10.90867,74.08217,363,46 m
9410806,CMA CGM LYRA,Container Ship,Malta,131332,128550,363,46,None,2011,None,,,,Cargo ship (HAZ-A),ITGOA,"May 2, 06:00",9410806 / 215131000,9HA4972,363 / 46 m,12.2 m,282.4° / 0.0 kn,44.41931 N/8.78161 E,215131000,282.4°,0.0 kn,44.41931,8.78161,363,46 m
9410777,CMA CGM CENTAURUS,Container Ship,Malta,131332,128550,363,46,None,2011,None,,,,Cargo ship (HAZ-D),MARSAXLOKK,"May 5, 12:00",9410777 / 215225000,9HA5020,364 / 46 m,15.1 m,275.0° / 15.1 kn,33.92294 N/34.88732 E,215225000,275.0°,15.1 kn,33.92294,34.88732,364,46 m
9399210,CMA CGM PEGASUS,Container Ship,Malta,131332,128550,363,46,None,2010,None,,,,Cargo ship (HAZ-A),CNLYG,"Apr 30, 09:00",9399210 / 248013000,9HA2126,363 / 46 m,8.9 m,246.6° / 0.0 kn,34.98154 N/119.96186 E,248013000,246.6°,0.0 kn,34.98154,119.96186,363,46 m
9410727,CMA CGM ANDROMEDA,Container Ship,Malta,131332,128550,363,46,None,2009,None,,,,Cargo ship (HAZ-A),CNNGB ANCHOR,"Apr 23, 12:00",9410727 / 215164000,9HA4989,364 / 46 m,8.5 m,283.9° / 0.2 kn,29.91917 N/122.72835 E,215164000,283.9°,0.2 kn,29.91917,122.72835,364,46 m
9445590,DISNEY FANTASY,Passenger (Cruise) Ship,Bahamas,129750,9500,340,40,None,2012,,,,,Passenger ship,BS GOC,"Apr 30, 11:30",9445590 / 311058700,C6ZL6,340 / 42 m,8.7 m,284.0° / 10.0 kn,26.17375 N/77.9206 W,311058700,284.0°,10.0 kn,26.17375,-77.9206,340,42 m
9434254,DISNEY DREAM,Passenger (Cruise) Ship,Bahamas,129690,9800,340,41,None,2010,,,,,Passenger ship,PORT CANAVERAL ANCH.,"Apr 29, 21:00",9434254 / 311042900,C6YR6,339 / 37 m,8.6 m,35.0° / 0.1 kn,28.34753 N/80.51725 W,311042900,35.0°,0.1 kn,28.34753,-80.51725,339,37 m
9838383,CELEBRITY APEX,Passenger (Cruise) Ship,Malta,129500,12000,,,,2019,,,,,Passenger ship,,,9838383 / 215105000,9HA4960,306 / 50 m,8.0 m,316.6° / 0.0 kn,47.28658 N/2.19714 W,215105000,316.6°,0.0 kn,47.28658,-2.19714,306,50 m
9812705,CELEBRITY EDGE,Passenger (Cruise) Ship,Malta,129500,12000,306,39,,2018,,,,,Passenger ship,GREAT BAHAMA BANK,"May 1, 13:30",9812705 / 248325000,9HA4612,306 / 40 m,8.4 m,85.3° / 7.8 kn,26.18982 N/79.2121 W,248325000,85.3°,7.8 kn,26.18982,-79.2121,306,40 m
9812705,CELEBRITY EDGE,Passenger (Cruise) Ship,Malta,129500,12000,306,39,,2018,,,,,Passenger ship,GREAT BAHAMA BANK,"May 1, 13:30",9812705 / 248325000,9HA4612,306 / 40 m,8.4 m,85.3° / 7.8 kn,26.18982 N/79.2121 W,248325000,85.3°,7.8 kn,26.18982,-79.2121,306,40 m
9750696,EDUARD TOLL,LNG Tanker,Bahamas,128975,96840,299,50,None,2017,,,,,Tanker (HAZ-D),RUS SAB,"May 8, 23:00",9750696 / 311000548,C6CR2,299 / 50 m,10.8 m,25.0° / 13.6 kn,64.76527 N/6.14222 E,311000548,25.0°,13.6 kn,64.76527,6.14222,299,50 m
9601302,APL PARIS,Container Ship,Singapore,128929,131096,347,45,None,2012,None,,,,Cargo ship (HAZ-A),KRPUS,"Apr 30, 16:00",9601302 / 566704000,9V9403,347 / 45 m,14.9 m,57.0° / 16.5 kn,38.08609 N/134.71454 E,566704000,57.0°,16.5 kn,38.08609,134.71454,347,45 m
9462029,APL SALALAH,Container Ship,Singapore,128929,131476,347,48,None,2012,None,,,,Cargo ship (HAZ-A),CNSHK,"May 10, 18:00",9462029 / 566410000,9V9400,347 / 45 m,9.5 m,26.0° / 12.3 kn,11.73078 N/111.15542 E,566410000,26.0°,12.3 kn,11.73078,111.15542,347,45 m
9462043,APL BARCELONA,Container Ship,Singapore,128929,131196,347,45,None,2012,None,,,,Cargo ship (HAZ-A),SGSIN,"May 19, 21:00",9462043 / 566483000,9V9402,347 / 45 m,14.5 m,89.0° / 10.7 kn,35.32222 S/21.39058 E,566483000,89.0°,10.7 kn,-35.32222,21.39058,347,45 m
9462017,APL SOUTHAMPTON,Container Ship,Singapore,128929,131358,347,48,None,2012,None,,,,Cargo ship (HAZ-D),CNSHA,"May 3, 09:30",9462017 / 566409000,9V9399,347 / 45 m,10.2 m,286.7° / 0.0 kn,30.48047 N/122.49755 E,566409000,286.7°,0.0 kn,30.48047,122.49755,347,45 m
9462031,APL YANGSHAN,Container Ship,Singapore,128929,131229,347,45,None,2012,None,,,,Cargo ship (HAZ-A),CAHAL,"May 2, 16:15",9462031 / 566482000,9V9401,347 / 45 m,11.8 m,325.6° / 3.8 kn,44.62331 N/63.55307 W,566482000,325.6°,3.8 kn,44.62331,-63.55307,347,45 m
9601314,APL DUBLIN,Container Ship,Singapore,128929,131203,347,45,None,2012,None,,,,Cargo ship (HAZ-A),HKHKG,"May 3, 21:00",9601314 / 566705000,9V9404,347 / 45 m,12.6 m,232.1° / 10.7 kn,24.62734 N/119.55411 E,566705000,232.1°,10.7 kn,24.62734,119.55411,347,45 m
9759240,MARVEL EAGLE,LNG Tanker,Panama,128917,83571,300,49,None,2018,,,,,Tanker,CAMERON LAKE CHARLES,"Apr 15, 17:00",9759240 / 374375000,3EAK6,299 / 48 m,10.0 m,161.0° / 0.0 kn,29.25479 N/93.26448 W,374375000,161.0°,0.0 kn,29.25479,-93.26448,299,48 m
9768370,FEDOR LITKE,LNG Tanker,Cyprus,128806,96839,299,50,None,2017,,,,,Tanker (HAZ-A),BEZEE,"May 5, 11:30",9768370 / 212660000,5BSS4,299 / 50 m,12.0 m,56.2° / 0.2 kn,51.46015 N/2.68648 E,212660000,56.2°,0.2 kn,51.46015,2.68648,299,50 m
9750701,VLADIMIR RUSANOV,LNG Tanker,Hong Kong,128806,96844,299,50,None,2018,,,,,Tanker,GB MLF,"May 2, 13:00",9750701 / 477150100,VRRA7,299 / 50 m,12.0 m,0.1° / 0.1 kn,51.54939 N/5.39186 W,477150100,0.1°,0.1 kn,51.54939,-5.39186,299,50 m
9737187,CHRISTOPHE DE MARGERIE,LNG Tanker,Cyprus,128806,96779,299,50,None,2016,,,,,Tanker,BEZEE / BELGIUM,"May 6, 19:00",9737187 / 212611000,5BNR4,299 / 50 m,11.8 m,269.8° / 15.8 kn,71.60872 N/30.20816 E,212611000,269.8°,15.8 kn,71.60872,30.20816,299,50 m
9750713,RUDOLF SAMOYLOVICH,LNG Tanker,Bahamas,128806,97000,299,50,None,2017,,,,,Tanker,FRMTX,"May 1, 09:00",9750713 / 311000627,C6DB3,299 / 50 m,11.8 m,- / 0.0 kn,47.29905 N/2.14238 W,311000627,-,0.0 kn,47.29905,-2.14238,299,50 m
9768368,BORIS VILKITSKY,LNG Tanker,Cyprus,128806,96958,299,50,None,2017,,,,,Tanker (HAZ-A),FR MTX,"May 6, 19:00",9768368 / 212654000,5BST4,299 / 50 m,12.0 m,228.0° / 16.5 kn,66.57186 N/6.56387 E,212654000,228.0°,16.5 kn,66.57186,6.56387,299,50 m
9768382,GEORGIY BRUSILOV,LNG Tanker,Cyprus,128806,97000,299,50,None,2018,,,,,Tanker,DUNKIRK,"May 8, 05:30",9768382 / 212770000,5BSW4,299 / 50 m,12.0 m,100.2° / 16.1 kn,71.70057 N/31.389 E,212770000,100.2°,16.1 kn,71.70057,31.389,299,50 m
9354923,CMA CGM VELA,Container Ship,Madeira,128600,131831,347,45,None,2008,None,,,,Cargo ship,SAJED,"May 2, 11:00",9354923 / 255805983,CQIK3,347 / 46 m,15.3 m,351.0° / 0.0 kn,21.48971 N/39.15341 E,255805983,351.0°,0.0 kn,21.48971,39.15341,347,46 m
