Owner Code,Serial Number,Check Digit,ISO Size Code,ISO Type Code
HLXU,448711,9,42,G0
HLXU,268629,5,22,P3
HLXU,563830,7,42,U1
HLXU,342934,4,22,G1
HLXU,118507,1,22,G0
HLXU,868429,3,45,P3
HLXU,122781,8,22,G1
HLXU,563669,2,42,U1
HLXU,445898,9,42,G1
HLXU,538489,2,42,G1
CPSU,170942,6,22,G1
HLXU,115793,0,22,G1
HLXU,131008,3,22,G0
HLXU,269054,2,22,P3
HLXU,877699,1,45,R9
HLXU,374258,0,22,R1
HLXU,441454,3,42,G1
HLXU,503521,6,42,G0
HLXU,901529,8,L5,G0
HLBU,148804,1,45,G0
HLBU,107720,5,45,G0
CPSU,182215,0,22,G0
HLXU,563065,9,42,U1
HLXU,505089,4,42,G1
HLBU,800832,1,42,U1
CPSU,174943,2,22,G1
CPSU,171186,0,22,G1
HLXU,538243,4,42,G1
HLBU,147655,0,45,G0
HLBU,803177,0,45,U6
HLBU,141925,0,45,G0
HLXU,119174,5,22,G1
CPSU,182125,1,22,G0
HLBU,132792,0,45,G0
HLXU,823946,3,45,G0
HLXU,118482,7,22,G1
HLBU,148038,8,45,G0
HLXU,777534,2,45,R1
HLXU,505892,0,42,G0
HLBU,108799,9,45,G0
HLXU,124769,8,22,G1
HLXU,131942,1,22,G0
HLXU,373256,7,22,R9
HLXU,506233,9,42,G0
HLXU,345339,8,22,G1
HLXU,442067,2,42,G0
CPSU,175169,8,22,G0
HLXU,342956,4,22,G1
HLXU,343210,0,22,G0
HLXU,449194,2,42,G0
HLBU,153412,9,42,G1
HLXU,824197,5,45,G0
HLBU,148571,6,45,G0
HLXU,127727,7,22,G0
CPSU,183195,6,22,G1
HLXU,539797,0,42,G0
HLXU,539513,4,42,G0
HLXU,121118,0,22,G0
HLXU,465018,7,42,U6
HLBU,144006,2,45,G0
CPSU,182956,0,22,G0
HLXU,374933,0,22,R9
HLXU,443584,6,42,G1
HLXU,563072,7,42,U1
HLBU,106318,7,45,G0
CPSU,176545,4,22,G0
HLXU,565696,5,42,U1
HLXU,132534,6,22,G1
HLXU,901377,2,L5,G0
HLXU,448597,0,42,G0
HLXU,368468,1,22,P3
CPSU,171869,2,22,G1
CPSU,183002,5,22,G1
HLXU,375736,1,22,R1
HLXU,563871,0,42,U1
HLBU,131774,9,45,G0
HLXU,880227,7,45,R1
HLXU,506216,6,42,G0
HLXU,505851,6,42,G0
HLXU,878822,1,45,R9
HLBU,153235,7,42,G1
HLXU,360308,9,22,U1
HLXU,132548,2,22,G0
HLXU,868311,1,45,P3
HLXU,341480,4,22,G1
HLXU,115040,5,22,G1
HLXU,878137,8,45,R1
HLBU,114917,0,45,G0
HLXU,561191,9,42,U1
HLXU,365445,8,22,U6
HLXU,124915,0,22,G1
HLXU,443346,1,42,G1
HLXU,878570,2,45,R9
HLBU,124594,7,42,G1
HLBU,172434,0,22,G0
HLXU,871673,3,45,R9
CPSU,175681,1,22,G1
HLXU,539916,5,42,G1
HLBU,113610,8,42,G0
HLXU,118576,8,22,G0
HLXU,341509,0,22,G1
CPSU,171063,0,22,G0
HLBU,112911,1,42,G0
HLXU,125797,3,22,G0
HLBU,801382,9,22,U1
HLXU,339878,8,22,G1
HLBU,136946,7,22,G1
HLXU,344901,0,22,G0
HLXU,342165,4,22,G0
HLXU,345360,2,22,G0
HLBU,142556,8,45,G0
HLXU,439899,3,42,G0
HLXU,539404,1,42,G0
CPSU,171803,2,22,G1
HLBU,124521,9,42,G1
HLBU,147305,6,45,G0
HLXU,777544,7,45,R1
HLBU,108787,3,45,G0
LNXU,965393,1,45,R1
LNXU,965803,9,45,R1
HLBU,172776,0,22,G0
HLBU,106571,3,45,G0
HLXU,122151,2,22,G1
LNXU,965416,5,45,R9
HLXU,361536,1,22,U1
HLXU,124386,6,22,G0
HLXU,900167,8,L5,G0
HLXU,871211,0,45,R9
HLXU,666179,8,45,U6
CPSU,181981,3,22,G0
HLXU,118499,0,22,G0
HLXU,115027,4,22,G0
HLXU,869138,4,45,P3
HLBU,904259,9,45,R9
HLXU,342789,7,22,G0
HLXU,506649,0,42,G0
HLXU,129184,1,22,G0
HLXU,502724,7,42,G1
HLBU,148240,6,45,G0
HLBU,143870,8,45,G0
HLXU,448051,1,42,G0
HLBU,148903,0,45,G0
HLXU,345632,0,22,G0
HLXU,465590,8,42,U6
HLBU,125898,2,42,G1
HLBU,106789,9,45,G0
HLXU,374735,3,22,R1
HLXU,538219,3,42,G0
CPSU,179235,7,22,G1
CPSU,181844,8,22,G1
HLXU,346751,0,22,G1
HLXU,368835,6,22,P3
HLXU,444147,2,42,G0
HLBU,131996,6,45,G0
HLXU,539939,0,42,G0
HLBU,153594,0,42,G1
HLXU,128585,9,22,G1
HLXU,341422,8,22,G1
HLXU,127007,2,22,G0
HLXU,119987,5,22,G0
HLXU,502947,0,42,G0
HLXU,442464,0,42,G0
LNXU,965165,1,45,R1
CPSU,176786,5,22,G0
CPSU,178881,7,22,G0
CPSU,170662,4,22,G1
CPSU,170812,9,22,G0
HLXU,449893,2,42,G0
HLXU,123627,2,22,G1
HLXU,504695,6,42,G0
HLXU,442025,3,42,G0
HLXU,539564,2,42,G0
HLXU,502840,8,42,G1
HLXU,871426,0,45,R1
HLXU,440764,6,42,G0
CPSU,178613,9,22,G1
HLXU,440185,9,42,G1
HLXU,343436,0,22,G1
HLXU,561581,9,42,U1
HLXU,373548,4,22,R1
HLXU,122373,0,22,G0
HLXU,564784,0,42,U1
HLXU,117977,5,22,G1
HLXU,503989,1,42,G1
CPSU,177925,2,22,G1
HLBU,128107,9,45,G0
HLXU,871169,3,45,R1
HLXU,824022,2,45,G0
HLXU,362770,7,22,U1
HLXU,824559,2,45,G0
HLBU,172123,9,22,G1
HLBU,138851,6,22,G0
HLXU,877776,0,45,R1
HLBU,129242,6,45,G0
HLXU,505296,0,42,G0
HLBU,125688,0,42,G0
HLBU,136991,2,22,G1
HLXU,375670,3,22,R9
HLXU,368513,5,22,P3
HLBU,152367,2,42,G0
HLXU,560809,4,42,U1
HLXU,365487,7,22,U6
HLBU,149631,4,45,G0
HLBU,143870,8,45,G0
HLXU,132676,9,22,G1
HLXU,506605,0,42,G0
HLXU,128101,6,22,G0
HLBU,142075,3,45,G0
HLXU,131807,7,22,G1
HLXU,343804,0,22,G0
HLXU,365883,0,22,U6
HLXU,504847,1,42,G1
HLXU,443252,0,42,G1
CPSU,170917,0,22,G0
HLBU,173194,9,22,G1
HLBU,114551,0,42,G1
HLXU,125274,0,22,G0
HLXU,537347,7,42,G0
HLXU,119132,6,22,G0
CPSU,175455,2,22,G0
HLXU,879916,5,45,R1
HLXU,344345,8,22,G1
HLXU,877780,1,45,R1
HLXU,879581,5,45,R1
HLXU,446508,0,42,G1
HLXU,117511,0,22,G0
HLBU,112585,0,42,G1
HLXU,120241,6,22,G1
HLXU,870658,9,45,R9
HLXU,127989,2,22,G0
HLXU,441733,0,42,G1
HLXU,340142,3,22,G1
CPSU,181901,7,22,G0
CPSU,175301,4,22,G1
HLXU,507577,2,42,G0
HLXU,445293,0,42,G0
HLXU,564584,3,42,U1
HLXU,362043,4,22,U1
CPSU,180205,0,22,G1
HLBU,126461,9,42,G1
HLXU,122144,4,22,G0
HLXU,373577,2,22,R9
CPSU,182240,7,22,G1
HLXU,373573,0,22,R9
CPSU,172666,1,22,G0
CPSU,182726,9,22,G0
HLXU,368400,0,22,P3
CPSU,170369,1,22,G1
HLXU,440726,9,42,G0
HLBU,800504,8,42,U1
HLXU,124011,6,22,G1
HLXU,372868,1,22,R1
HLBU,109252,7,45,G0
HLXU,561874,1,42,U1
HLXU,877817,1,45,R1
HLXU,870703,2,45,R1
HLBU,802498,2,45,U1
HLXU,505639,3,42,G1
HLBU,800119,5,42,U1
HLXU,123060,0,22,G1
HLXU,676257,3,45,R9
HLXU,117068,3,22,G1
HLXU,900064,8,L5,G1
HLXU,361120,0,22,U1
CPSU,179286,5,22,G0
HLXU,507239,4,42,G0
HLXU,368202,4,22,P3
HLBU,151679,6,42,G0
HLXU,341714,5,22,G1
CPSU,176259,0,22,G0
HLXU,449439,3,42,G1
HLXU,536915,1,42,G0
HLXU,342660,5,22,G0
HLXU,126835,1,22,G1
HLBU,113525,6,42,G0
CPSU,170744,0,22,G0
CPSU,178428,3,22,G0
HLXU,375767,0,22,R1
HLXU,506506,2,42,G1
HLBU,142408,2,45,G0
HLXU,870467,0,45,R1
HLXU,115929,8,22,G1
CPSU,175876,1,22,G0
HLXU,669854,5,45,P3
HLXU,871296,4,45,R9
HLXU,506524,0,42,G0
HLXU,823854,3,45,G0
HLBU,148478,0,45,G0
HLXU,122844,0,22,G1
HLXU,505680,7,42,G1
HLXU,877543,2,45,R1
HLXU,446107,0,42,G1
HLBU,174198,3,22,G0
HLBU,147423,8,45,G0
HLXU,561153,1,42,U1
HLXU,878936,1,45,R1
CPSU,180878,0,22,G1
HLBU,151990,7,42,G1
CPSU,178108,3,22,G0
CPSU,178686,7,22,G1
HLBU,106417,5,45,G0
HLBU,129406,7,45,G0
HLBU,113892,2,42,G0
CPSU,175550,9,22,G0
HLBU,108916,3,45,G0
HLBU,152828,8,42,G0
HLBU,132202,0,45,G0
CPSU,177216,8,22,G1
HLXU,870944,3,45,R1
HLBU,133432,4,45,G0
HLXU,824315,5,45,G0
HLXU,665190,5,45,U6
HLXU,362551,6,22,U1
HLXU,341525,8,22,G0
HLXU,505499,3,42,G0
HLBU,152791,8,42,G0
HLXU,123118,5,22,G0
HLXU,346088,7,22,G1
HLXU,449334,2,42,G0
HLXU,116123,9,22,G0
HLXU,504918,7,42,G1
HLXU,444782,5,42,G0
HLXU,444079,3,42,G1
HLXU,368347,3,22,P3
CPSU,179179,3,22,G0
HLXU,441370,7,42,G0
HLXU,541449,7,42,G1
HLXU,365507,4,22,U6
HLXU,502578,4,42,G0
HLXU,563320,4,42,U1
HLBU,143982,7,45,G0
CPSU,183049,1,22,G0
HLXU,505065,3,42,G0
HLXU,341821,7,22,G1
HLXU,115803,2,22,G0
HLBU,108734,4,45,G0
HLBU,137177,0,22,G0
HLBU,128200,4,45,G0
HLXU,375464,3,22,R9
CPSU,178727,9,22,G0
HLBU,107674,6,45,G0
HLXU,116645,7,22,G0
HLXU,878473,5,45,R9
HLXU,878908,9,45,R9
HLXU,445050,8,42,G1
HLBU,112731,3,42,G0
HLXU,879731,0,45,R1
HLXU,119738,0,22,G1
HLXU,537381,2,42,G1
HLXU,375352,4,22,R9
HLXU,127627,3,22,G0
HLXU,373221,6,22,R1
HLXU,343059,0,22,G0
HLXU,561905,9,42,U1
CPSU,182937,6,22,G0
HLBU,801222,8,22,U1
HLBU,800336,5,42,U1
CPSU,173160,3,22,G1
HLBU,171974,3,22,G1
HLXU,539716,8,42,G1
HLBU,152212,9,42,G1
HLXU,345395,3,22,G1
HLXU,539901,3,42,G1
HLBU,125038,6,42,G1
HLBU,153180,9,42,G0
HLXU,878165,0,45,R1
HLXU,339980,2,22,G0
HLBU,112357,0,42,G0
HLBU,115819,0,45,G0
HLXU,343573,5,22,G0
HLBU,801196,8,22,U1
CPSU,182351,0,22,G0
HLXU,879171,6,45,R9
HLBU,153320,9,42,G1
HLXU,505849,5,42,G1
HLXU,536746,3,42,G0
CPSU,181751,2,22,G0
HLXU,361475,0,22,U1
HLBU,802049,0,42,U1
HLXU,560643,2,42,U1
HLXU,541476,4,42,G1
HLXU,441722,0,42,G1
HLBU,800870,9,42,U1
HLXU,666104,9,45,U6
CPSU,181987,6,22,G0
HLXU,441274,5,42,G1
HLXU,665585,2,45,U6
HLBU,131953,1,45,G0
HLXU,131425,0,22,G1
HLBU,904577,8,45,R9
HLBU,147545,1,45,G0
HLXU,365304,0,22,U6
HLXU,341578,7,22,G1
HLXU,343838,5,22,G1
CPSU,177132,1,22,G1
HLXU,665040,9,45,U6
HLBU,112855,8,42,G1
HLBU,139025,8,22,G1
HLXU,871410,2,45,R1
CPSU,173764,7,22,G1
HLXU,342521,9,22,G0
CPSU,170869,0,22,G0
CPSU,170747,6,22,G0
HLXU,345194,0,22,G1
HLBU,148887,4,45,G0
HLXU,665267,3,45,U6
HLXU,345553,1,22,G1
HLXU,368738,9,22,P3
HLXU,655987,6,45,G0
HLXU,128139,3,22,G1
HLXU,879498,4,45,R9
HLBU,113737,9,42,G0
HLBU,143414,8,45,G0
HLXU,540494,0,42,G0
HLXU,439911,7,42,G1
HLXU,440347,9,42,G0
HLXU,446405,0,42,G1
HLXU,371621,5,22,R1
HLXU,343823,3,22,G1
HLXU,115989,5,22,G1
HLXU,562283,1,42,U1
HLXU,440574,3,42,G1
CPSU,176495,3,22,G1
HLXU,901198,0,L5,G0
HLBU,130051,5,45,G0
HLBU,149429,6,45,G0
CPSU,178638,5,22,G1
HLXU,365840,5,22,U6
CPSU,179090,0,22,G0
HLXU,540251,8,42,G0
HLBU,801023,6,22,U1
HLBU,106678,5,45,G0
HLXU,121044,8,22,G0
HLXU,132301,9,22,G0
HLXU,824463,0,45,G0
HLXU,566363,7,42,U1
HLXU,870471,2,45,R1
HLXU,375518,6,22,R1
CPSU,181525,3,22,G1
HLXU,566513,1,42,U1
HLXU,346215,6,22,G0
HLXU,901166,5,L5,G0
HLXU,539340,4,42,G0
CPSU,174639,0,22,G1
HLXU,560967,4,42,U1
CPSU,179943,6,22,G1
HLXU,562277,9,42,U1
HLBU,800200,5,42,U1
HLXU,880341,7,45,R1
HLXU,566263,3,42,U1
HLXU,123324,5,22,G1
CPSU,178845,0,22,G0
CPSU,182819,4,22,G0
HLXU,540444,7,42,G1
HLXU,539971,5,42,G1
HLXU,871134,2,45,R1
HLXU,368751,0,22,P3
HLXU,502339,4,42,G0
HLBU,904156,9,45,R9
CPSU,170811,3,22,G0
HLXU,562236,5,42,U1
CPSU,170829,1,22,G0
CPSU,182252,2,22,G0
HLBU,148893,7,45,G0
HLXU,538544,0,42,G0
HLXU,563927,4,42,U1
CPSU,171901,5,22,G1
HLXU,365128,4,22,U6
HLXU,507168,9,42,G0
CPSU,174861,7,22,G1
HLXU,365939,3,22,U6
HLXU,563427,6,42,U1
HLXU,440479,7,42,G1
HLBU,137829,3,22,G0
CPSU,171787,7,22,G0
HLXU,504596,8,42,G0
HLBU,125436,0,42,G1
HLXU,126013,2,22,G0
CPSU,175432,7,22,G0
HLXU,539409,9,42,G0
HLXU,870496,9,45,R9
HLBU,152490,1,42,G1
HLXU,119058,4,22,G0
HLBU,904718,3,45,R1
HLBU,138152,6,22,G0
CPSU,174307,4,22,G0
HLXU,116798,0,22,G1
HLXU,446244,5,42,G0
HLXU,343873,6,22,G0
HLXU,342658,4,22,G1
HLBU,112152,6,42,G1
HLBU,107113,5,45,G0
HLXU,537057,0,42,G0
HLXU,448181,9,42,G0
HLXU,123018,1,22,G0
HLXU,125690,1,22,G1
HLXU,878950,8,45,R9
HLXU,824286,9,45,G0
HLXU,502380,8,42,G0
CPSU,177601,0,22,G1
HLBU,128875,5,45,G0
HLBU,803104,1,45,U6
HLBU,138334,5,22,G1
HLBU,106346,0,45,G0
HLXU,343200,6,22,G1
HLXU,539452,3,42,G0
HLXU,871845,8,45,R9
HLXU,128354,2,22,G0
CPSU,181010,3,22,G0
HLXU,362892,0,22,U1
HLXU,121217,8,22,G1
HLXU,115798,7,22,G1
HLXU,877756,0,45,R1
HLBU,108648,7,45,G0
CPSU,170439,1,22,G1
HLXU,538756,3,42,G0
HLXU,565965,7,42,U1
HLBU,147469,9,45,G0
HLXU,446786,2,42,G0
HLXU,505820,7,42,G1
HLXU,171300,8,22,R1
CPSU,175426,4,22,G1
HLBU,144121,8,45,G0
CPSU,177785,2,22,G1
HLXU,562666,3,42,U1
HLBU,141674,7,45,G0
HLXU,441462,7,42,G0
HLXU,665777,6,45,U6
HLBU,141119,9,45,G0
HLBU,801477,5,22,U1
HLBU,143904,1,45,G0
HLBU,108643,0,45,G0
HLBU,125908,5,42,G0
HLXU,372992,6,22,R9
HLBU,139012,7,22,G0
HLXU,871344,4,45,R9
HLBU,149687,0,45,G0
HLXU,879361,9,45,R9
HLBU,142595,0,45,G0
HLXU,449529,2,42,G0
HLBU,151684,3,42,G0
HLXU,116354,5,22,G1
HLBU,173547,7,22,G0
HLXU,360845,9,22,U1
HLXU,538277,0,42,G1
HLXU,538304,5,42,G1
HLXU,504948,0,42,G0
HLXU,502362,0,42,G1
HLXU,900148,4,L5,G1
LNXU,965184,5,45,R9
HLBU,152628,0,42,G0
HLXU,878636,0,45,R9
CPSU,174977,8,22,G1
HLBU,141955,4,45,G0
HLBU,106811,7,45,G0
HLXU,116520,7,22,G1
HLXU,445149,6,42,G0
HLXU,540758,4,42,G0
HLBU,800504,8,42,U1
HLXU,121397,8,22,G1
HLBU,107587,3,45,G0
HLXU,446710,8,42,G1
HLXU,676527,0,45,R1
HLXU,116061,2,22,G0
HLXU,879601,2,45,R1
HLBU,112801,3,42,G1
HLBU,125208,0,42,G0
HLBU,147813,8,45,G0
HLXU,446041,1,42,G0
HLXU,127007,2,22,G0
LNXU,965026,5,45,R9
HLXU,504552,8,42,G0
HLXU,445278,8,42,G1
HLXU,121371,6,22,G1
HLXU,539489,5,42,G1
HLXU,666284,9,45,U6
HLXU,870484,3,45,R1
HLXU,446156,7,42,G1
HLXU,540529,9,42,G1
HLXU,561359,1,42,U1
HLBU,149212,6,45,G0
HLXU,126597,9,22,G1
HLBU,113422,6,42,G0
HLXU,504745,7,42,G0
HLBU,147905,8,45,G0
HLXU,540327,0,42,G0
HLXU,125647,7,22,G0
HLXU,116691,8,22,G1
HLXU,536714,9,42,G0
HLBU,144319,4,45,G0
HLXU,879198,3,45,R9
HLBU,132673,2,45,G0
HLBU,127221,6,42,G0
HLXU,777196,6,45,R9
HLXU,561203,2,42,U1
HLBU,137107,8,22,G1
HLXU,361175,0,22,U1
HLXU,120136,5,22,G0
HLXU,777102,3,45,R9
HLXU,119087,2,22,G0
HLXU,341227,8,22,G0
HLXU,878091,9,45,R9
HLBU,136803,9,22,G0
HLXU,127245,7,22,G0
HLBU,107168,5,45,G0
HLXU,538982,2,42,G0
HLBU,133195,7,45,G0
CPSU,176540,7,22,G0
HLBU,172276,1,22,G0
CPSU,180448,2,22,G0
HLXU,538197,5,42,G1
HLXU,340959,5,22,G1
HLXU,117004,4,22,G1
HLXU,360543,7,22,U1
HLXU,879807,2,45,R1
HLXU,444232,4,42,G0
HLXU,269026,0,22,P3
HLXU,443496,8,42,G1
HLBU,115075,6,45,G0
HLXU,669872,3,45,P3
HLXU,560991,5,42,U1
CPSU,180897,4,22,G0
HLXU,871375,3,45,R1
HLBU,173910,0,22,G0
HLXU,346479,2,22,G1
HLXU,346268,5,22,G1
HLBU,173852,5,22,G1
HLBU,106977,0,45,G0
HLXU,665773,4,45,U6
HLXU,507488,9,42,G0
HLXU,126727,4,22,G1
HLBU,144116,0,45,G0
HLBU,802536,8,45,U1
HLXU,340578,4,22,G1
HLXU,123096,7,22,G1
HLBU,800986,0,42,U1
HLXU,362973,0,22,U1
HLBU,173330,7,22,G0
HLXU,132724,9,22,G1
HLXU,870450,8,45,R9
HLXU,340054,5,22,G1
HLXU,126775,6,22,G1
HLBU,133286,1,45,G0
HLXU,362191,0,22,U1
HLXU,562550,2,42,U1
HLXU,374063,0,22,R9
HLXU,116825,5,22,G1
HLXU,871146,8,45,R9
HLXU,128967,5,22,G1
HLXU,129474,8,22,G1
HLBU,115170,2,45,G0
HLXU,870085,4,45,R1
HLXU,117164,5,22,G0
CPSU,172610,6,22,G1
HLBU,126024,2,42,G0
CPSU,175892,9,22,G1
HLXU,562392,4,42,U1
HLXU,341175,6,22,G0
CPSU,171823,1,22,G0
HLXU,540702,9,42,G1
HLXU,465139,5,42,U6
HLXU,124389,2,22,G1
HLXU,360578,8,22,U1
HLXU,120785,4,22,G1
HLBU,136853,1,22,G1
HLXU,444208,3,42,G0
HLXU,126558,6,22,G1
HLBU,107776,0,45,G0
CPSU,182769,3,22,G0
HLXU,560735,2,42,U1
HLXU,446896,0,42,G1
HLBU,148711,6,45,G0
HLBU,114592,4,42,G0
HLBU,130741,6,45,G0
HLBU,148607,0,45,G0
CPSU,178741,5,22,G1
CPSU,180351,5,22,G0
CPSU,174459,1,22,G1
HLBU,125940,0,42,G0
HLBU,802455,8,45,U1
HLBU,802138,4,45,U1
HLXU,901597,9,L5,G0
HLBU,143971,7,45,G0
HLXU,566067,8,42,U1
HLXU,374208,8,22,R9
HLXU,375603,8,22,R9
HLXU,124250,6,22,G1
HLXU,538028,5,42,G0
HLBU,151702,0,42,G0
HLXU,870892,1,45,R1
HLXU,871239,3,45,R9
HLXU,122653,1,22,G0
HLXU,346763,6,22,G1
HLXU,345733,0,22,G0
HLXU,345015,6,22,G0
HLBU,113011,1,42,G0
CPSU,172521,2,22,G0
HLXU,369067,4,22,P3
HLBU,148441,9,45,G0
HLBU,173708,1,22,G0
HLXU,343820,7,22,G1
HLBU,803368,8,22,U1
HLBU,136991,2,22,G0
HLXU,540490,8,42,G0
HLXU,446274,9,42,G0
HLXU,126232,3,22,G1
HLXU,878713,9,45,R9
HLXU,116469,0,22,G0
HLXU,448842,1,42,G1
HLXU,870493,2,45,R9
HLXU,444737,0,42,G0
HLXU,368735,2,22,P3
HLXU,119046,9,22,G1
HLXU,564430,5,42,U1
HLXU,342557,5,22,G1
CPSU,182871,8,22,G1
HLXU,441877,3,42,G0
HLXU,341094,6,22,G0
HLXU,371600,0,22,R9
HLXU,502826,1,42,G1
HLXU,442234,0,42,G0
HLXU,374311,8,22,R1
HLXU,560435,1,42,U1
CPSU,170519,6,22,G0
HLXU,565531,7,42,U1
CPSU,178890,6,22,G1
HLBU,802708,2,45,P3
HLXU,870586,8,45,R1
HLXU,343274,0,22,G1
HLXU,340039,3,22,G1
HLXU,666170,9,45,U6
HLBU,114990,8,45,G0
HLBU,148288,8,45,G0
HLXU,538942,4,42,G0
HLBU,153207,4,42,G1
HLXU,562989,0,42,U1
HLXU,123116,4,22,G1
CPSU,180517,7,22,G0
HLXU,340182,1,22,G1
CPSU,177644,5,22,G0
HLXU,444288,0,42,G0
HLBU,113897,0,42,G1
HLXU,446319,2,42,G0
HLXU,129813,0,22,G1
HLXU,504286,2,42,G0
HLXU,878828,4,45,R9
HLXU,868485,9,45,P3
HLXU,120788,0,22,G0
HLBU,112179,3,42,G0
CPSU,177237,2,22,G1
HLXU,669870,2,45,P3
HLBU,112263,0,42,G0
HLXU,342539,7,22,G1
HLXU,343490,4,22,G1
HLBU,173710,2,22,G1
HLBU,142678,1,45,G0
HLXU,560379,8,42,U1
LNXU,965919,0,45,R9
HLXU,538820,0,42,G0
HLXU,343987,6,22,G1
HLXU,444002,3,42,G0
CPSU,183025,0,22,G0
CPSU,177507,0,22,G1
HLBU,174160,6,22,G1
HLXU,446767,9,42,G0
HLXU,119560,3,22,G0
CPSU,177389,0,22,G1
HLXU,777287,0,45,R1
LNXU,965126,9,45,R1
HLXU,118751,9,22,G1
HLXU,566225,6,42,U1
HLXU,565435,5,42,U1
HLBU,904896,2,45,R1
HLXU,538196,0,42,G1
HLXU,504805,2,42,G1
CPSU,171597,4,22,G0
HLXU,561137,4,42,U1
HLBU,144282,4,45,G0
HLXU,120755,0,22,G0
HLBU,132255,0,45,G0
HLXU,442553,4,42,G1
HLXU,539103,5,42,G1
HLXU,878776,2,45,R9
HLXU,443944,2,42,G0
HLXU,538984,3,42,G0
HLXU,445653,6,42,G0
CPSU,179135,3,22,G1
HLXU,442355,8,42,G1
HLXU,115433,1,22,G0
HLXU,444494,0,42,G0
HLXU,440572,2,42,G0
HLXU,122027,8,22,G0
HLBU,152204,5,42,G0
HLBU,107052,4,45,G0
HLBU,137151,8,22,G1
HLBU,133336,2,45,G0
HLXU,539439,2,42,G0
HLBU,136830,6,22,G0
HLXU,365010,2,22,U6
HLBU,108708,2,45,G0
HLXU,342343,1,22,G1
HLXU,340481,7,22,G0
HLXU,126019,5,22,G0
HLXU,119717,6,22,G1
HLBU,143020,6,45,G0
HLXU,506814,7,42,G0
HLXU,118928,0,22,G0
HLXU,870935,4,45,R1
CPSU,182757,8,22,G0
HLXU,121026,0,22,G1
HLXU,449614,4,42,G0
HLXU,123871,0,22,G1
HLBU,151902,7,42,G1
HLXU,869126,9,45,P3
HLXU,344704,9,22,G1
HLBU,802000,3,42,U1
HLXU,539977,8,42,G0
HLBU,800032,2,42,U1
HLXU,901117,8,L5,G0
HLXU,563729,8,42,U1
HLXU,373674,0,22,R9
HLXU,538575,0,42,G1
HLXU,879006,8,45,R9
HLXU,125822,8,22,G1
HLXU,119533,6,22,G1
HLXU,503058,0,42,G0
HLBU,904450,7,45,R9
HLXU,369041,2,22,P3
HLBU,152605,5,42,G0
HLXU,868218,6,45,P3
CPSU,172747,1,22,G0
HLXU,121331,8,22,G1
HLXU,128676,3,22,G1
HLXU,344612,9,22,G1
HLXU,901598,4,L5,G0
CPSU,182344,2,22,G0
CPSU,180531,3,22,G1
HLXU,446423,8,42,G0
HLBU,149170,9,45,G0
HLXU,824345,9,45,G0
HLXU,361977,0,22,U1
HLBU,152511,4,42,G1
HLXU,870252,1,45,R9
HLXU,130227,1,22,G0
CPSU,170075,3,22,G0
HLBU,129716,2,45,G0
HLBU,803095,4,45,U6
HLXU,116651,0,22,G1
HLXU,503213,1,42,G0
HLXU,368309,6,22,P3
CPSU,172677,1,22,G0
HLXU,566323,9,42,U1
HLBU,152165,4,42,G1
CPSU,173896,5,22,G1
HLXU,361416,9,22,U1
HLBU,904086,9,45,R9
HLXU,121264,4,22,G1
HLBU,132439,0,45,G0
HLBU,800398,3,42,U1
HLXU,375588,8,22,R9
HLXU,564566,5,42,U1
HLXU,132200,0,22,G0
CPSU,183081,6,22,G1
HLXU,339881,4,22,G1
HLXU,564938,7,42,U1
CPSU,179539,0,22,G0
HLXU,122254,2,22,G0
HLXU,119524,7,22,G1
HLBU,113190,6,42,G0
HLXU,507292,3,42,G1
HLXU,502517,1,42,G1
CPSU,180587,9,22,G1
HLXU,342831,4,22,G0
HLXU,373714,6,22,R9
HLXU,506558,6,42,G1
HLXU,465366,0,42,U6
HLBU,904191,0,45,R9
HLXU,563548,4,42,U1
HLBU,173981,7,22,G0
HLXU,507523,8,42,G0
HLBU,114633,6,42,G0
LNXU,965798,3,45,R1
HLBU,128082,4,45,G0
HLXU,444534,6,42,G0
HLXU,368619,1,22,P3
CPSU,173194,9,22,G1
CPSU,180247,0,22,G1
HLBU,152170,1,42,G0
HLXU,340197,3,22,G0
HLBU,138570,9,22,G0
CPSU,172089,5,22,G1
HLBU,113610,8,42,G0
HLXU,441648,8,42,G0
HLXU,665076,5,45,U6
HLXU,564362,6,42,U1
HLXU,360941,0,22,U1
HLBU,112939,4,42,G0
HLXU,505168,3,42,G0
HLBU,800591,2,42,U1
HLXU,901136,1,L5,G0
HLXU,537509,7,42,G1
HLXU,564841,0,42,U1
HLXU,362740,3,22,U1
HLBU,137934,4,22,G0
HLXU,566005,0,42,U1
HLBU,148707,4,45,G0
HLXU,541383,9,42,G0
HLXU,375843,3,22,R1
HLXU,375603,8,22,R9
HLXU,123708,2,22,G1
HLXU,506306,5,42,G1
HLBU,141191,1,45,G0
HLXU,669877,0,45,P3
HLXU,343283,9,22,G0
HLBU,142213,2,45,G0
HLXU,566214,6,42,U1
HLBU,138328,2,22,G0
CPSU,176490,6,22,G1
HLXU,443493,1,42,G0
HLBU,108875,1,45,G0
CPSU,177796,2,22,G0
HLBU,126619,7,42,G1
HLXU,115545,0,22,G1
HLXU,115585,9,22,G1
HLXU,443960,0,42,G0
HLXU,360817,6,22,U1
HLBU,128931,9,45,G0
HLXU,445323,1,42,G1
HLXU,539116,6,42,G1
HLXU,116001,5,22,G1
